summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
Both ABBV and MRK are leading pharmaceutical companies with strong portfolios in oncology and immunology.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'Both ABBV and MRK are leading pharmaceutical companies with strong portfolios in oncology and immunology.'}",32be8d4c-5a1f-3cbc-886f-6230fb48cd47,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/abbv-vs-mrk-drug-giant-143700084.html?.tsrc=rss'}]",https://finance.yahoo.com/news/abbv-vs-mrk-drug-giant-143700084.html?.tsrc=rss,2025-04-14 14:37:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=14, tm_min=37, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",ABBV vs. MRK: Which Drug Giant is a Better Buy Now?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'ABBV vs. MRK: Which Drug Giant is a Better Buy Now?'}",ABBV,Yahoo Finance,ABBV vs. MRK: Which Drug Giant is a Better Buy Now? Both ABBV and MRK are leading pharmaceutical companies with strong portfolios in oncology and immunology.,2025,4,14,0,157,26,51,11
"AbbVie's, Rinvoq and AstraZeneca's and Novartis are included in this Analyst Blog.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': ""AbbVie's, Rinvoq and AstraZeneca's and Novartis are included in this Analyst Blog.""}",b71e9bdd-1ad7-306a-874e-d35e59d9872f,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/zacks-analyst-blog-abbvies-rinvoq-061700677.html?.tsrc=rss'}]",https://finance.yahoo.com/news/zacks-analyst-blog-abbvies-rinvoq-061700677.html?.tsrc=rss,2025-04-14 06:17:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=6, tm_min=17, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","The Zacks Analyst Blog AbbVie's, Rinvoq and AstraZeneca's and Novartis","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': ""The Zacks Analyst Blog AbbVie's, Rinvoq and AstraZeneca's and Novartis""}",ABBV,Yahoo Finance,"The Zacks Analyst Blog AbbVie's, Rinvoq and AstraZeneca's and Novartis AbbVie's, Rinvoq and AstraZeneca's and Novartis are included in this Analyst Blog.",2025,4,14,0,153,22,70,10
"We recently published a list of Long-Term Stock Portfolio: 15 Best Stocks for 15 Years. In this article, we are going to take a look at where AbbVie Inc. (NYSE:ABBV) stands against other best stocks for 15 years. Russell Investments believes that 3 features are defining the market outlook for 2025. These include the elevated level […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'We recently published a list of Long-Term Stock Portfolio: 15 Best Stocks for 15 Years. In this article, we are going to take a look at where AbbVie Inc. (NYSE:ABBV) stands against other best stocks for 15 years. Russell Investments believes that 3 features are defining the market outlook for 2025. These include the elevated level […]'}",9609e903-b45a-3121-8843-4a744ef2671d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/abbvie-inc-abbv-best-stock-213955811.html?.tsrc=rss'}]",https://finance.yahoo.com/news/abbvie-inc-abbv-best-stock-213955811.html?.tsrc=rss,2025-04-13 21:39:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=13, tm_hour=21, tm_min=39, tm_sec=55, tm_wday=6, tm_yday=103, tm_isdst=0)",Is AbbVie Inc. (ABBV) the Best Stock for 15 Years?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'Is AbbVie Inc.\xa0(ABBV) the Best Stock for 15 Years?'}",ABBV,Yahoo Finance,"Is AbbVie Inc. (ABBV) the Best Stock for 15 Years? We recently published a list of Long-Term Stock Portfolio: 15 Best Stocks for 15 Years. In this article, we are going to take a look at where AbbVie Inc. (NYSE:ABBV) stands against other best stocks for 15 years. Russell Investments believes that 3 features are defining the market outlook for 2025. These include the elevated level […]",2025,4,13,6,387,67,50,10
EU approves expanded use of ABBV's Rinvoq and AZN's Imfinzi and Enhertu. NVS set to invest $23B to boost U.S. manufacturing.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': ""EU approves expanded use of ABBV's Rinvoq and AZN's Imfinzi and Enhertu. NVS set to invest $23B to boost U.S. manufacturing.""}",f8fa3801-3898-3a0e-adf5-510b4d831d64,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/pharma-stock-roundup-eu-nod-154700353.html?.tsrc=rss'}]",https://finance.yahoo.com/news/pharma-stock-roundup-eu-nod-154700353.html?.tsrc=rss,2025-04-11 15:47:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=15, tm_min=47, tm_sec=0, tm_wday=4, tm_yday=101, tm_isdst=0)","Pharma Stock Roundup: EU Nod to Expanded Use of ABBV, AZN Drugs & More","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'Pharma Stock Roundup: EU Nod to Expanded Use of ABBV, AZN Drugs & More'}",ABBV,Yahoo Finance,"Pharma Stock Roundup: EU Nod to Expanded Use of ABBV, AZN Drugs & More EU approves expanded use of ABBV's Rinvoq and AZN's Imfinzi and Enhertu. NVS set to invest $23B to boost U.S. manufacturing.",2025,4,11,4,195,35,70,14
"ClearBridge Investments, an investment management company, released its “ClearBridge Growth Strategy” first quarter 2025 investor letter. A copy of the letter can be downloaded here. First quarter of 2025 witnessed sharp equities sell off due to the shift out of mega caps. There was a relative outperformance of mid cap growth stocks over large and […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'ClearBridge Investments, an investment management company, released its “ClearBridge Growth Strategy” first quarter 2025 investor letter. A copy of the letter can be downloaded here. First quarter of 2025 witnessed sharp equities sell off due to the shift out of mega caps. There was a relative outperformance of mid cap growth stocks over large and […]'}",831eb40b-3af7-3c9a-9946-a44f5602e5e9,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/why-clearbridge-growth-strategy-sold-141618933.html?.tsrc=rss'}]",https://finance.yahoo.com/news/why-clearbridge-growth-strategy-sold-141618933.html?.tsrc=rss,2025-04-11 14:16:18,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=14, tm_min=16, tm_sec=18, tm_wday=4, tm_yday=101, tm_isdst=0)",Here’s Why Clearbridge Growth Strategy Sold AbbVie (ABBV),"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'Here’s Why Clearbridge Growth Strategy Sold AbbVie (ABBV)'}",ABBV,Yahoo Finance,"Here’s Why Clearbridge Growth Strategy Sold AbbVie (ABBV) ClearBridge Investments, an investment management company, released its “ClearBridge Growth Strategy” first quarter 2025 investor letter. A copy of the letter can be downloaded here. First quarter of 2025 witnessed sharp equities sell off due to the shift out of mega caps. There was a relative outperformance of mid cap growth stocks over large and […]",2025,4,11,4,411,64,57,8
Pharma stocks tumbled Thursday after the Trump administration said the delay for reciprocal tariffs doesn't apply to sector-specific tariffs.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': ""Pharma stocks tumbled Thursday after the Trump administration said the delay for reciprocal tariffs doesn't apply to sector-specific tariffs.""}",5788e167-ba2e-3f2d-8e9e-4bfb72e0e2c1,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/5788e167-ba2e-3f2d-8e9e-4bfb72e0e2c1/s%26p%2C-dow-jones-pharma-names.html?.tsrc=rss'}]",https://finance.yahoo.com/m/5788e167-ba2e-3f2d-8e9e-4bfb72e0e2c1/s%26p%2C-dow-jones-pharma-names.html?.tsrc=rss,2025-04-10 16:58:23,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=16, tm_min=58, tm_sec=23, tm_wday=3, tm_yday=100, tm_isdst=0)","S&P, Dow Jones Pharma Names Rattled — Again — On Trump's Tariffs Whiplash","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': ""S&P, Dow Jones Pharma Names Rattled — Again — On Trump's Tariffs Whiplash""}",ABBV,Yahoo Finance,"S&P, Dow Jones Pharma Names Rattled — Again — On Trump's Tariffs Whiplash Pharma stocks tumbled Thursday after the Trump administration said the delay for reciprocal tariffs doesn't apply to sector-specific tariffs.",2025,4,10,3,215,32,73,13
"Zacks.com users have recently been watching AbbVie (ABBV) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': ""Zacks.com users have recently been watching AbbVie (ABBV) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.""}",dd87f1e5-d7ce-308c-95c9-ebad75f67e23,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/investors-heavily-search-abbvie-inc-130016248.html?.tsrc=rss'}]",https://finance.yahoo.com/news/investors-heavily-search-abbvie-inc-130016248.html?.tsrc=rss,2025-04-10 13:00:16,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=13, tm_min=0, tm_sec=16, tm_wday=3, tm_yday=100, tm_isdst=0)",Investors Heavily Search AbbVie Inc. (ABBV): Here is What You Need to Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'Investors Heavily Search AbbVie Inc. (ABBV): Here is What You Need to Know'}",ABBV,Yahoo Finance,"Investors Heavily Search AbbVie Inc. (ABBV): Here is What You Need to Know Zacks.com users have recently been watching AbbVie (ABBV) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",2025,4,10,3,225,37,74,13
"Pharma names whipsawed Wednesday after Trump said he would enact ""major"" tariffs on drug imports and then backed off his tariffs — for now.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'Pharma names whipsawed Wednesday after Trump said he would enact ""major"" tariffs on drug imports and then backed off his tariffs — for now.'}",be7d1b24-7c1e-38ff-91b2-281ea7807568,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/be7d1b24-7c1e-38ff-91b2-281ea7807568/dow-jones%2C-s%26p-500-pharma.html?.tsrc=rss'}]",https://finance.yahoo.com/m/be7d1b24-7c1e-38ff-91b2-281ea7807568/dow-jones%2C-s%26p-500-pharma.html?.tsrc=rss,2025-04-09 14:06:24,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=14, tm_min=6, tm_sec=24, tm_wday=2, tm_yday=99, tm_isdst=0)","Dow Jones, S&P 500 Pharma Names Recover After Trump Backs Off His Tariffs Plan","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'Dow Jones, S&P 500 Pharma Names Recover After Trump Backs Off His Tariffs Plan'}",ABBV,Yahoo Finance,"Dow Jones, S&P 500 Pharma Names Recover After Trump Backs Off His Tariffs Plan Pharma names whipsawed Wednesday after Trump said he would enact ""major"" tariffs on drug imports and then backed off his tariffs — for now.",2025,4,9,2,218,38,78,14
"Stocks in drugmakers sold off globally after President Trump said tariffs on pharmaceutical imports will be unveiled shortly, signaling the industry could be next in line amid a trade war that is causing market turmoil.  AbbVie, Eli Lilly, Johnson & Johnson, Merck and Pfizer were all down at least 2.5% in Wednesday midday trading.  Denmark's Novo Nordisk, Switzerland's Novartis and the U.K.'s AstraZeneca and GSK fell 2% or more in the U.S.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': ""Stocks in drugmakers sold off globally after President Trump said tariffs on pharmaceutical imports will be unveiled shortly, signaling the industry could be next in line amid a trade war that is causing market turmoil.  AbbVie, Eli Lilly, Johnson & Johnson, Merck and Pfizer were all down at least 2.5% in Wednesday midday trading.  Denmark's Novo Nordisk, Switzerland's Novartis and the U.K.'s AstraZeneca and GSK fell 2% or more in the U.S.""}",f171bfb7-94e2-3b98-bde2-9d5add357a5c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/f171bfb7-94e2-3b98-bde2-9d5add357a5c/novo-nordisk%2C-abbvie-stocks.html?.tsrc=rss'}]",https://finance.yahoo.com/m/f171bfb7-94e2-3b98-bde2-9d5add357a5c/novo-nordisk%2C-abbvie-stocks.html?.tsrc=rss,2025-04-09 13:51:17,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=13, tm_min=51, tm_sec=17, tm_wday=2, tm_yday=99, tm_isdst=0)","Novo Nordisk, AbbVie Stocks Slide After Trump Vows Pharma Tariffs","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': 'Novo Nordisk, AbbVie Stocks Slide After Trump Vows Pharma Tariffs'}",ABBV,Yahoo Finance,"Novo Nordisk, AbbVie Stocks Slide After Trump Vows Pharma Tariffs Stocks in drugmakers sold off globally after President Trump said tariffs on pharmaceutical imports will be unveiled shortly, signaling the industry could be next in line amid a trade war that is causing market turmoil.  AbbVie, Eli Lilly, Johnson & Johnson, Merck and Pfizer were all down at least 2.5% in Wednesday midday trading.  Denmark's Novo Nordisk, Switzerland's Novartis and the U.K.'s AstraZeneca and GSK fell 2% or more in the U.S.",2025,4,9,2,509,82,65,10
"With equity markets in shambles due to President Donald Trump's trade policies, now might be as good a time as any to invest in excellent dividend stocks.  With that said, let's consider two top dividend stocks that should navigate the current storm relatively well and continue performing long after: AbbVie (NYSE: ABBV) and Gilead Sciences (NASDAQ: GILD).  AbbVie went public in 2013, splitting from its former parent company, Abbott Laboratories.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': ""With equity markets in shambles due to President Donald Trump's trade policies, now might be as good a time as any to invest in excellent dividend stocks.  With that said, let's consider two top dividend stocks that should navigate the current storm relatively well and continue performing long after: AbbVie (NYSE: ABBV) and Gilead Sciences (NASDAQ: GILD).  AbbVie went public in 2013, splitting from its former parent company, Abbott Laboratories.""}",5cab3809-b66e-3faa-ba7a-e4d34635f17e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/09/2-top-dividend-stocks-that-could-set-you-up-for/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=90b5bcaa-4272-4bfd-8f23-424615e827a0&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/09/2-top-dividend-stocks-that-could-set-you-up-for/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=90b5bcaa-4272-4bfd-8f23-424615e827a0&.tsrc=rss,2025-04-09 11:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=99, tm_isdst=0)",2 Top Dividend Stocks That Could Set You Up for Life,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=ABBV&region=US&lang=en-US', 'value': '2 Top Dividend Stocks That Could Set You Up for Life'}",ABBV,Yahoo Finance,"2 Top Dividend Stocks That Could Set You Up for Life With equity markets in shambles due to President Donald Trump's trade policies, now might be as good a time as any to invest in excellent dividend stocks.  With that said, let's consider two top dividend stocks that should navigate the current storm relatively well and continue performing long after: AbbVie (NYSE: ABBV) and Gilead Sciences (NASDAQ: GILD).  AbbVie went public in 2013, splitting from its former parent company, Abbott Laboratories.",2025,4,9,2,502,81,52,11
