summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"On one hand, it's understandable that Amazon's (NASDAQ: AMZN) share price fell as much as 29% below its previous high during the recent market sell-off.  After all, the company's e-commerce revenue could be at risk if tariffs lead to an economic decline that causes consumer spending to sink.  On the other hand, I'd argue that Amazon is more insulated from a faltering economy than meets the eye.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': ""On one hand, it's understandable that Amazon's (NASDAQ: AMZN) share price fell as much as 29% below its previous high during the recent market sell-off.  After all, the company's e-commerce revenue could be at risk if tariffs lead to an economic decline that causes consumer spending to sink.  On the other hand, I'd argue that Amazon is more insulated from a faltering economy than meets the eye.""}",cc779cf6-16ab-3414-bb69-d4f7d4d31dcc,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/15/stock-market-whiplash-3-growth-stocks-that-are-no/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=0bf9259e-e9d3-4f1a-9f86-f48f8d425466&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/15/stock-market-whiplash-3-growth-stocks-that-are-no/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=0bf9259e-e9d3-4f1a-9f86-f48f8d425466&.tsrc=rss,2025-04-15 08:45:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=8, tm_min=45, tm_sec=0, tm_wday=1, tm_yday=105, tm_isdst=0)",Stock Market Whiplash: 3 Growth Stocks That Are No-Brainer Buys on the Bounce,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Stock Market Whiplash: 3 Growth Stocks That Are No-Brainer Buys on the Bounce'}",AMZN,Yahoo Finance,"Stock Market Whiplash: 3 Growth Stocks That Are No-Brainer Buys on the Bounce On one hand, it's understandable that Amazon's (NASDAQ: AMZN) share price fell as much as 29% below its previous high during the recent market sell-off.  After all, the company's e-commerce revenue could be at risk if tariffs lead to an economic decline that causes consumer spending to sink.  On the other hand, I'd argue that Amazon is more insulated from a faltering economy than meets the eye.",2025,4,15,1,475,80,77,13
"Amazon (AMZN) reachead $182.13 at the closing of the latest trading day, reflecting a -1.48% change compared to its last close.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Amazon (AMZN) reachead $182.13 at the closing of the latest trading day, reflecting a -1.48% change compared to its last close.'}",5f36d8df-d9ed-3cdb-8c76-dda6ba9d2726,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/amazon-amzn-stock-sinks-market-214517709.html?.tsrc=rss'}]",https://finance.yahoo.com/news/amazon-amzn-stock-sinks-market-214517709.html?.tsrc=rss,2025-04-14 21:45:17,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=45, tm_sec=17, tm_wday=0, tm_yday=104, tm_isdst=0)",Amazon (AMZN) Stock Sinks As Market Gains: Here's Why,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': ""Amazon (AMZN) Stock Sinks As Market Gains: Here's Why""}",AMZN,Yahoo Finance,"Amazon (AMZN) Stock Sinks As Market Gains: Here's Why Amazon (AMZN) reachead $182.13 at the closing of the latest trading day, reflecting a -1.48% change compared to its last close.",2025,4,14,0,181,30,53,9
"The space race is heating up, with Blue Origin, SpaceX (SPAX.PVT), Rocketlab, and Amazon (AMZN) Project Kuiper each making significant strides. Andrew Chanin, co-founder and CEO of ProcureAM, joins Catalysts to discuss new developments, competition, and diversification in the launch industry, as well as space race satellite companies to keep an eye on. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'The space race is heating up, with Blue Origin, SpaceX (SPAX.PVT), Rocketlab, and Amazon (AMZN) Project Kuiper each making significant strides. Andrew Chanin, co-founder and CEO of ProcureAM, joins Catalysts to discuss new developments, competition, and diversification in the launch industry, as well as space race satellite companies to keep an eye on. To watch more expert insights and analysis on the latest market action, check out more Catalysts\xa0here.'}",05896861-6dec-3abd-81bb-18ea7fed2d3a,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/space-race-investing-know-growing-201109117.html?.tsrc=rss'}]",https://finance.yahoo.com/video/space-race-investing-know-growing-201109117.html?.tsrc=rss,2025-04-14 20:11:09,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=11, tm_sec=9, tm_wday=0, tm_yday=104, tm_isdst=0)",Space race investing: What to know about the growing sector,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Space race investing: What to know about the growing sector'}",AMZN,Yahoo Finance,"Space race investing: What to know about the growing sector The space race is heating up, with Blue Origin, SpaceX (SPAX.PVT), Rocketlab, and Amazon (AMZN) Project Kuiper each making significant strides. Andrew Chanin, co-founder and CEO of ProcureAM, joins Catalysts to discuss new developments, competition, and diversification in the launch industry, as well as space race satellite companies to keep an eye on. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.",2025,4,14,0,517,80,59,10
"Investment banks JMP Securities and CFRA today issued bullish notes on Amazon (AMZN) and JPMorgan (JPM), respectively. However, both banks cut their price targets on each of the stocks. JMP Securities’ Bullish Take on AMZN Although AMZN’s growth is likely to slow as its e-commerce business decelerates, its share of the e-commerce market will probably […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Investment banks JMP Securities and CFRA today issued bullish notes on Amazon (AMZN) and JPMorgan (JPM), respectively. However, both banks cut their price targets on each of the stocks. JMP Securities’ Bullish Take on AMZN Although AMZN’s growth is likely to slow as its e-commerce business decelerates, its share of the e-commerce market will probably […]'}",30594c2a-5d47-34bf-9863-ecad5f6a9ee5,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/bullish-notes-issued-amazon-amzn-182741554.html?.tsrc=rss'}]",https://finance.yahoo.com/news/bullish-notes-issued-amazon-amzn-182741554.html?.tsrc=rss,2025-04-14 18:27:41,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=27, tm_sec=41, tm_wday=0, tm_yday=104, tm_isdst=0)","Bullish Notes Issued on Amazon (AMZN), JPMorgan (JPM)","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Bullish Notes Issued on Amazon (AMZN), JPMorgan (JPM)'}",AMZN,Yahoo Finance,"Bullish Notes Issued on Amazon (AMZN), JPMorgan (JPM) Investment banks JMP Securities and CFRA today issued bullish notes on Amazon (AMZN) and JPMorgan (JPM), respectively. However, both banks cut their price targets on each of the stocks. JMP Securities’ Bullish Take on AMZN Although AMZN’s growth is likely to slow as its e-commerce business decelerates, its share of the e-commerce market will probably […]",2025,4,14,0,410,64,53,8
This is what could happen next to Amazon shares.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'This is what could happen next to Amazon shares.'}",15bc4ea1-1326-39e9-8449-b5a26fdfc93d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thestreet.com/technology/analysts-reboot-amazon-stock-price-targets-on-tariff-trauma?.tsrc=rss'}]",https://www.thestreet.com/technology/analysts-reboot-amazon-stock-price-targets-on-tariff-trauma?.tsrc=rss,2025-04-14 17:33:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=33, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Analysts reboot Amazon stock price targets on tariff trauma,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Analysts reboot Amazon stock price targets on tariff trauma'}",AMZN,Yahoo Finance,Analysts reboot Amazon stock price targets on tariff trauma This is what could happen next to Amazon shares.,2025,4,14,0,108,18,59,9
"The long-term outlooks of Walmart (WMT) and Amazon.com (AMZN) are positive, partly because both names have “pricing power,” Jason Brown, the founder of The Brown Report told Schwab Network recently. The network described Brown as “an expert on stocks.” WMT Has “Huge Pricing Power,” Brown Says In addition to having “huge pricing power,” WMT is […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'The long-term outlooks of Walmart (WMT) and Amazon.com (AMZN) are positive, partly because both names have “pricing power,” Jason Brown, the founder of The Brown Report told Schwab Network recently. The network described Brown as “an expert on stocks.” WMT Has “Huge Pricing Power,” Brown Says In addition to having “huge pricing power,” WMT is […]'}",bf493aec-5fc0-36eb-8723-8dc77de797c2,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/top-stock-picker-bullish-wmt-161642297.html?.tsrc=rss'}]",https://finance.yahoo.com/news/top-stock-picker-bullish-wmt-161642297.html?.tsrc=rss,2025-04-14 16:16:42,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=16, tm_sec=42, tm_wday=0, tm_yday=104, tm_isdst=0)","Top Stock Picker Is Bullish on WMT, AMZN","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Top Stock Picker Is Bullish on WMT, AMZN'}",AMZN,Yahoo Finance,"Top Stock Picker Is Bullish on WMT, AMZN The long-term outlooks of Walmart (WMT) and Amazon.com (AMZN) are positive, partly because both names have “pricing power,” Jason Brown, the founder of The Brown Report told Schwab Network recently. The network described Brown as “an expert on stocks.” WMT Has “Huge Pricing Power,” Brown Says In addition to having “huge pricing power,” WMT is […]",2025,4,14,0,389,64,40,8
"Apple led the ""Magnificent Seven"" stocks higher Monday as investors cheered the Trump administration's temporary tariff exemptions for tech products announced over the weekend.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Apple led the ""Magnificent Seven"" stocks higher Monday as investors cheered the Trump administration\'s temporary tariff exemptions for tech products announced over the weekend.'}",293adc1d-d098-41a7-ac6f-0b5068a2b060,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/apple-leads-tech-stocks-higher-on-trumps-temporary-tech-tariff-reprieve-125423982.html?.tsrc=rss'}]",https://finance.yahoo.com/news/apple-leads-tech-stocks-higher-on-trumps-temporary-tech-tariff-reprieve-125423982.html?.tsrc=rss,2025-04-14 12:54:23,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=54, tm_sec=23, tm_wday=0, tm_yday=104, tm_isdst=0)",Apple leads tech stocks higher on Trump's temporary tech tariff reprieve,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': ""Apple leads tech stocks higher on Trump's temporary tech tariff reprieve""}",AMZN,Yahoo Finance,"Apple leads tech stocks higher on Trump's temporary tech tariff reprieve Apple led the ""Magnificent Seven"" stocks higher Monday as investors cheered the Trump administration's temporary tariff exemptions for tech products announced over the weekend.",2025,4,14,0,249,35,72,11
"Investing.com -- Citi has trimmed target prices (TPs) and earnings projections for several U.S. internet stocks amid the negative effects of recently imposed tariffs, more limited macro visibility, and a weakening outlook for online advertising.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Investing.com -- Citi has trimmed target prices (TPs) and earnings projections for several U.S. internet stocks amid the negative effects of recently imposed tariffs, more limited macro visibility, and a weakening outlook for online advertising.'}",b3854cc8-7751-34f2-8b6e-ddf125c59b28,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/citi-cuts-internet-stock-targets-125235785.html?.tsrc=rss'}]",https://finance.yahoo.com/news/citi-cuts-internet-stock-targets-125235785.html?.tsrc=rss,2025-04-14 12:52:35,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=52, tm_sec=35, tm_wday=0, tm_yday=104, tm_isdst=0)",Citi cuts internet stock targets amid tariffs and softer macro,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Citi cuts internet stock targets amid tariffs and softer macro'}",AMZN,Yahoo Finance,"Citi cuts internet stock targets amid tariffs and softer macro Investing.com -- Citi has trimmed target prices (TPs) and earnings projections for several U.S. internet stocks amid the negative effects of recently imposed tariffs, more limited macro visibility, and a weakening outlook for online advertising.",2025,4,14,0,308,45,62,10
Google parent Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL) appears to be in a strong position to weather the current storm.  Its cash position is nearly $96.7 billion.  Alphabet makes most of its money from advertising on Google Search and other apps.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'Google parent Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL) appears to be in a strong position to weather the current storm.  Its cash position is nearly $96.7 billion.  Alphabet makes most of its money from advertising on Google Search and other apps.'}",8cfaac6b-fd78-384f-9332-c1a68032d0bb,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/14/3-beaten-down-magnificent-seven-stocks-to-buy-and/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=7630be3e-a2dc-46a9-ac88-75a685cd57c2&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/14/3-beaten-down-magnificent-seven-stocks-to-buy-and/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=7630be3e-a2dc-46a9-ac88-75a685cd57c2&.tsrc=rss,2025-04-14 08:51:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=51, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","3 Beaten-Down ""Magnificent Seven"" Stocks to Buy and Hold","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': '3 Beaten-Down ""Magnificent Seven"" Stocks to Buy and Hold'}",AMZN,Yahoo Finance,"3 Beaten-Down ""Magnificent Seven"" Stocks to Buy and Hold Google parent Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL) appears to be in a strong position to weather the current storm.  Its cash position is nearly $96.7 billion.  Alphabet makes most of its money from advertising on Google Search and other apps.",2025,4,14,0,303,49,56,9
"We recently published a list of Jim Cramer Discussed These 12 Stocks. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against other stocks that Jim Cramer discussed. On Thursday, Jim Cramer, host of Mad Money, described the 145% duty on China as so extreme that it essentially […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': 'We recently published a list of Jim Cramer Discussed These 12 Stocks. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against other stocks that Jim Cramer discussed. On Thursday, Jim Cramer, host of Mad Money, described the 145% duty on China as so extreme that it essentially […]'}",a2bbce0e-3180-3d59-a85c-50473f09b30a,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/screw-chinese-screwed-jim-cramer-004555210.html?.tsrc=rss'}]",https://finance.yahoo.com/news/screw-chinese-screwed-jim-cramer-004555210.html?.tsrc=rss,2025-04-14 00:45:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=0, tm_min=45, tm_sec=55, tm_wday=0, tm_yday=104, tm_isdst=0)",“Screw the Chinese or Get Screwed!” – Jim Cramer’s Bold Amazon.com (AMZN) Take,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=AMZN&region=US&lang=en-US', 'value': '“Screw the Chinese or Get Screwed!” – Jim Cramer’s Bold Amazon.com (AMZN) Take'}",AMZN,Yahoo Finance,"“Screw the Chinese or Get Screwed!” – Jim Cramer’s Bold Amazon.com (AMZN) Take We recently published a list of Jim Cramer Discussed These 12 Stocks. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against other stocks that Jim Cramer discussed. On Thursday, Jim Cramer, host of Mad Money, described the 145% duty on China as so extreme that it essentially […]",2025,4,14,0,403,69,78,13
