summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Bristol Myers Squibb stock skidded late Monday, tugging Cytokinetics lower, after Bristol's drug, Camzyos, failed in a heart disease study.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': ""Bristol Myers Squibb stock skidded late Monday, tugging Cytokinetics lower, after Bristol's drug, Camzyos, failed in a heart disease study.""}",99e030f1-3faf-357e-934c-65b39fcba011,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/99e030f1-3faf-357e-934c-65b39fcba011/bristol-myers-slumps-on-heart.html?.tsrc=rss'}]",https://finance.yahoo.com/m/99e030f1-3faf-357e-934c-65b39fcba011/bristol-myers-slumps-on-heart.html?.tsrc=rss,2025-04-14 22:15:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=22, tm_min=15, tm_sec=55, tm_wday=0, tm_yday=104, tm_isdst=0)",Bristol Myers Slumps On Heart Drug Failure — Taking Cytokinetics With It,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Bristol Myers Slumps On Heart Drug Failure — Taking Cytokinetics With It'}",BMY,Yahoo Finance,"Bristol Myers Slumps On Heart Drug Failure — Taking Cytokinetics With It Bristol Myers Squibb stock skidded late Monday, tugging Cytokinetics lower, after Bristol's drug, Camzyos, failed in a heart disease study.",2025,4,14,0,212,32,72,12
"PRINCETON, N.J., April 14, 2025--Bristol Myers Squibb Provides Update on Phase 3 ODYSSEY-HCM Trial","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'PRINCETON, N.J., April 14, 2025--Bristol Myers Squibb Provides Update on Phase 3 ODYSSEY-HCM Trial'}",8f83e4e1-a333-3711-b189-23c1561361a3,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/bristol-myers-squibb-provides-phase-201500074.html?.tsrc=rss'}]",https://finance.yahoo.com/news/bristol-myers-squibb-provides-phase-201500074.html?.tsrc=rss,2025-04-14 20:15:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=20, tm_min=15, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Bristol Myers Squibb Provides Update on Phase 3 ODYSSEY-HCM Trial,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Bristol Myers Squibb Provides Update on Phase 3 ODYSSEY-HCM Trial'}",BMY,Yahoo Finance,"Bristol Myers Squibb Provides Update on Phase 3 ODYSSEY-HCM Trial PRINCETON, N.J., April 14, 2025--Bristol Myers Squibb Provides Update on Phase 3 ODYSSEY-HCM Trial",2025,4,14,0,164,24,65,10
"Bristol Myers (BMY) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Bristol Myers (BMY) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.'}",a98e29b0-e9fd-3b81-9c55-cefa62b5cedb,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/bristol-myers-squibb-company-bmy-130013918.html?.tsrc=rss'}]",https://finance.yahoo.com/news/bristol-myers-squibb-company-bmy-130013918.html?.tsrc=rss,2025-04-14 13:00:13,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=0, tm_sec=13, tm_wday=0, tm_yday=104, tm_isdst=0)",Bristol Myers Squibb Company (BMY) is Attracting Investor Attention: Here is What You Should Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Bristol Myers Squibb Company (BMY) is Attracting Investor Attention: Here is What You Should Know'}",BMY,Yahoo Finance,"Bristol Myers Squibb Company (BMY) is Attracting Investor Attention: Here is What You Should Know Bristol Myers (BMY) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",2025,4,14,0,241,41,97,15
The approval is anchored in the outcomes from the open-label randomised Phase III CheckMate-9DW trial.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'The approval is anchored in the outcomes from the open-label randomised Phase III CheckMate-9DW trial.'}",b4582213-58a7-3b55-aeab-6fc7ee099799,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pharmaceutical-technology.com/news/bms-opdivo-approved-us/?.tsrc=rss'}]",https://www.pharmaceutical-technology.com/news/bms-opdivo-approved-us/?.tsrc=rss,2025-04-14 08:32:17,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=32, tm_sec=17, tm_wday=0, tm_yday=104, tm_isdst=0)",BMS’ Opdivo combo approved in US for hepatocellular carcinoma,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'BMS’ Opdivo combo approved in US for hepatocellular carcinoma'}",BMY,Yahoo Finance,BMS’ Opdivo combo approved in US for hepatocellular carcinoma The approval is anchored in the outcomes from the open-label randomised Phase III CheckMate-9DW trial.,2025,4,14,0,164,24,61,9
Shares of biotech stock Halozyme found support at their 200-day line in a time where many stocks are below this level.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Shares of biotech stock Halozyme found support at their 200-day line in a time where many stocks are below this level.'}",b74014e2-2a09-3691-abe1-a80e56248913,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/b74014e2-2a09-3691-abe1-a80e56248913/biotech-stock-bounces-from.html?.tsrc=rss'}]",https://finance.yahoo.com/m/b74014e2-2a09-3691-abe1-a80e56248913/biotech-stock-bounces-from.html?.tsrc=rss,2025-04-11 20:09:17,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=20, tm_min=9, tm_sec=17, tm_wday=4, tm_yday=101, tm_isdst=0)","Biotech Stock Bounces From Support, Shows Relative Strength Amid Volatile Market","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Biotech Stock Bounces From Support, Shows Relative Strength Amid Volatile Market'}",BMY,Yahoo Finance,"Biotech Stock Bounces From Support, Shows Relative Strength Amid Volatile Market Shares of biotech stock Halozyme found support at their 200-day line in a time where many stocks are below this level.",2025,4,11,4,199,32,80,11
"We recently published a list of 10 Best Medical Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Bristol-Myers Squibb Company (NYSE:BMY) stands against other best medical stocks to buy according to billionaires. Why are Healthcare Stocks Under Pressure? Some experts view medical, healthcare, and big […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Medical Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Bristol-Myers Squibb Company (NYSE:BMY) stands against other best medical stocks to buy according to billionaires. Why are Healthcare Stocks Under Pressure? Some experts view medical, healthcare, and big […]'}",d017688f-3c9f-3176-a58f-4917c997cdbd,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/bristol-myers-squibb-company-bmy-195824477.html?.tsrc=rss'}]",https://finance.yahoo.com/news/bristol-myers-squibb-company-bmy-195824477.html?.tsrc=rss,2025-04-11 19:58:24,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=19, tm_min=58, tm_sec=24, tm_wday=4, tm_yday=101, tm_isdst=0)",Is Bristol-Myers Squibb Company (BMY) One of the Best Medical Stocks to Buy According to Billionaires?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Is Bristol-Myers Squibb Company (BMY) One of the Best Medical Stocks to Buy According to Billionaires?'}",BMY,Yahoo Finance,"Is Bristol-Myers Squibb Company (BMY) One of the Best Medical Stocks to Buy According to Billionaires? We recently published a list of 10 Best Medical Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Bristol-Myers Squibb Company (NYSE:BMY) stands against other best medical stocks to buy according to billionaires. Why are Healthcare Stocks Under Pressure? Some experts view medical, healthcare, and big […]",2025,4,11,4,453,72,102,16
"PRINCETON, N.J., April 11, 2025--U.S. Food and Drug Administration Approves Opdivo plus Yervoy as a First-Line Treatment for Unresectable or Metastatic Hepatocellular Carcinoma","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'PRINCETON, N.J., April 11, 2025--U.S. Food and Drug Administration Approves Opdivo plus Yervoy as a First-Line Treatment for Unresectable or Metastatic Hepatocellular Carcinoma'}",127a3256-0cc8-3880-9822-1749583a87c5,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/u-food-drug-administration-approves-194900963.html?.tsrc=rss'}]",https://finance.yahoo.com/news/u-food-drug-administration-approves-194900963.html?.tsrc=rss,2025-04-11 19:49:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=19, tm_min=49, tm_sec=0, tm_wday=4, tm_yday=101, tm_isdst=0)",U.S. Food and Drug Administration Approves Opdivo® (nivolumab) plus Yervoy® (ipilimumab) as a First-Line Treatment for Unresectable or Metastatic Hepatocellular Carcinoma,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'U.S. Food and Drug Administration Approves Opdivo® (nivolumab) plus Yervoy® (ipilimumab) as a First-Line Treatment for Unresectable or Metastatic Hepatocellular Carcinoma'}",BMY,Yahoo Finance,"U.S. Food and Drug Administration Approves Opdivo® (nivolumab) plus Yervoy® (ipilimumab) as a First-Line Treatment for Unresectable or Metastatic Hepatocellular Carcinoma PRINCETON, N.J., April 11, 2025--U.S. Food and Drug Administration Approves Opdivo plus Yervoy as a First-Line Treatment for Unresectable or Metastatic Hepatocellular Carcinoma",2025,4,11,4,347,44,170,21
"Bristol-Myers Squibb (BMY) investors will be focused on the trajectory of Cobenfy, its schizophrenia","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Bristol-Myers Squibb (BMY) investors will be focused on the trajectory of Cobenfy, its schizophrenia'}",3e435ddf-0cf2-393d-a629-d136670995e1,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/bristol-myers-squibb-investors-likely-191255196.html?.tsrc=rss'}]",https://finance.yahoo.com/news/bristol-myers-squibb-investors-likely-191255196.html?.tsrc=rss,2025-04-11 19:12:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=19, tm_min=12, tm_sec=55, tm_wday=4, tm_yday=101, tm_isdst=0)","Bristol-Myers Squibb Investors Likely to Focus on Performance of New Schizophrenia Therapy, UBS Says","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Bristol-Myers Squibb Investors Likely to Focus on Performance of New Schizophrenia Therapy, UBS Says'}",BMY,Yahoo Finance,"Bristol-Myers Squibb Investors Likely to Focus on Performance of New Schizophrenia Therapy, UBS Says Bristol-Myers Squibb (BMY) investors will be focused on the trajectory of Cobenfy, its schizophrenia",2025,4,11,4,201,28,100,14
"Value stocks typically trade at discounts to the broader market, offering patient investors the opportunity to buy businesses when they’re out of favor. The key risk, however, is that these stocks are usually cheap for a reason – five cents for a piece of fruit may seem like a great deal until you find out it’s rotten.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': 'Value stocks typically trade at discounts to the broader market, offering patient investors the opportunity to buy businesses when they’re out of favor. The key risk, however, is that these stocks are usually cheap for a reason – five cents for a piece of fruit may seem like a great deal until you find out it’s rotten.'}",a984381c-41cb-3c58-8c9c-de9b5fc8dddd,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/3-value-stocks-doghouse-130156319.html?.tsrc=rss'}]",https://finance.yahoo.com/news/3-value-stocks-doghouse-130156319.html?.tsrc=rss,2025-04-11 13:01:56,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=13, tm_min=1, tm_sec=56, tm_wday=4, tm_yday=101, tm_isdst=0)",3 Value Stocks in the Doghouse,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': '3 Value Stocks in the Doghouse'}",BMY,Yahoo Finance,"3 Value Stocks in the Doghouse Value stocks typically trade at discounts to the broader market, offering patient investors the opportunity to buy businesses when they’re out of favor. The key risk, however, is that these stocks are usually cheap for a reason – five cents for a piece of fruit may seem like a great deal until you find out it’s rotten.",2025,4,11,4,351,63,30,6
Pharma stocks tumbled Thursday after the Trump administration said the delay for reciprocal tariffs doesn't apply to sector-specific tariffs.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': ""Pharma stocks tumbled Thursday after the Trump administration said the delay for reciprocal tariffs doesn't apply to sector-specific tariffs.""}",5788e167-ba2e-3f2d-8e9e-4bfb72e0e2c1,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/5788e167-ba2e-3f2d-8e9e-4bfb72e0e2c1/s%26p%2C-dow-jones-pharma-names.html?.tsrc=rss'}]",https://finance.yahoo.com/m/5788e167-ba2e-3f2d-8e9e-4bfb72e0e2c1/s%26p%2C-dow-jones-pharma-names.html?.tsrc=rss,2025-04-10 16:58:23,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=16, tm_min=58, tm_sec=23, tm_wday=3, tm_yday=100, tm_isdst=0)","S&P, Dow Jones Pharma Names Rattled — Again — On Trump's Tariffs Whiplash","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=BMY&region=US&lang=en-US', 'value': ""S&P, Dow Jones Pharma Names Rattled — Again — On Trump's Tariffs Whiplash""}",BMY,Yahoo Finance,"S&P, Dow Jones Pharma Names Rattled — Again — On Trump's Tariffs Whiplash Pharma stocks tumbled Thursday after the Trump administration said the delay for reciprocal tariffs doesn't apply to sector-specific tariffs.",2025,4,10,3,215,32,73,13
