summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Caterpillar Inc. (NYSE: CAT) today announced an investment to support a key source of its success and longevity for the next 100 years: people. As part of the celebration, the company pledged $100 million over the next five years to help equip the workforce of the future with the skills needed, leveraging technology to meet global market demands as the world undergoes a rapid digital transformation.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Caterpillar Inc. (NYSE: CAT) today announced an investment to support a key source of its success and longevity for the next 100 years: people. As part of the celebration, the company pledged $100 million over the next five years to help equip the workforce of the future with the skills needed, leveraging technology to meet global market demands as the world undergoes a rapid digital transformation.'}",45a4ab4b-2dbf-31b5-a739-011c38d4080b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/caterpillar-celebrates-first-100-years-132000948.html?.tsrc=rss'}]",https://finance.yahoo.com/news/caterpillar-celebrates-first-100-years-132000948.html?.tsrc=rss,2025-04-14 13:20:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=20, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)",Caterpillar Celebrates First 100 years with a Commitment to the Future Workforce,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Caterpillar Celebrates First 100 years with a Commitment to the Future Workforce'}",CAT,Yahoo Finance,"Caterpillar Celebrates First 100 years with a Commitment to the Future Workforce Caterpillar Inc. (NYSE: CAT) today announced an investment to support a key source of its success and longevity for the next 100 years: people. As part of the celebration, the company pledged $100 million over the next five years to help equip the workforce of the future with the skills needed, leveraging technology to meet global market demands as the world undergoes a rapid digital transformation.",2025,4,14,0,483,78,80,12
"In the closing of the recent trading day, Caterpillar (CAT) stood at $293.45, denoting a +1.48% change from the preceding trading day.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'In the closing of the recent trading day, Caterpillar (CAT) stood at $293.45, denoting a +1.48% change from the preceding trading day.'}",36f6c66a-6152-3f86-9048-4ec66e1619bf,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/caterpillar-cat-rises-trails-market-214515734.html?.tsrc=rss'}]",https://finance.yahoo.com/news/caterpillar-cat-rises-trails-market-214515734.html?.tsrc=rss,2025-04-11 21:45:15,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=21, tm_min=45, tm_sec=15, tm_wday=4, tm_yday=101, tm_isdst=0)",Caterpillar (CAT) Rises But Trails Market: What Investors Should Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Caterpillar (CAT) Rises But Trails Market: What Investors Should Know'}",CAT,Yahoo Finance,"Caterpillar (CAT) Rises But Trails Market: What Investors Should Know In the closing of the recent trading day, Caterpillar (CAT) stood at $293.45, denoting a +1.48% change from the preceding trading day.",2025,4,11,4,204,32,69,10
"Caterpillar (NYSE:CAT) saw a 10% price decline over the last week amid significant market volatility, as the Dow Jones and Nasdaq fell 4% and 6%, respectively, during the same period. While a notable resignation from the board and a steady dividend announcement may provide stability to shareholders, these internal events were likely overshadowed by broader market forces, which included a marked sell-off in tech and chipmaker stocks. The company's recent participation in bauma Munich 2025,...","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': ""Caterpillar (NYSE:CAT) saw a 10% price decline over the last week amid significant market volatility, as the Dow Jones and Nasdaq fell 4% and 6%, respectively, during the same period. While a notable resignation from the board and a steady dividend announcement may provide stability to shareholders, these internal events were likely overshadowed by broader market forces, which included a marked sell-off in tech and chipmaker stocks. The company's recent participation in bauma Munich 2025,...""}",ae06d3a6-91dd-3c97-a597-912276ad7d1c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/caterpillar-nyse-cat-board-transitions-172048294.html?.tsrc=rss'}]",https://finance.yahoo.com/news/caterpillar-nyse-cat-board-transitions-172048294.html?.tsrc=rss,2025-04-10 17:20:48,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=17, tm_min=20, tm_sec=48, tm_wday=3, tm_yday=100, tm_isdst=0)",Caterpillar (NYSE:CAT) Board Transitions and US$1.41 Dividend Affirmed,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Caterpillar (NYSE:CAT) Board Transitions and US$1.41 Dividend Affirmed'}",CAT,Yahoo Finance,"Caterpillar (NYSE:CAT) Board Transitions and US$1.41 Dividend Affirmed Caterpillar (NYSE:CAT) saw a 10% price decline over the last week amid significant market volatility, as the Dow Jones and Nasdaq fell 4% and 6%, respectively, during the same period. While a notable resignation from the board and a steady dividend announcement may provide stability to shareholders, these internal events were likely overshadowed by broader market forces, which included a marked sell-off in tech and chipmaker stocks. The company's recent participation in bauma Munich 2025,...",2025,4,10,3,567,83,70,8
"We recently published a list of Jim Cramer Talked About These 8 Stocks. In this article, we are going to take a look at where Caterpillar Inc. (NYSE:CAT) stands against other stocks that Jim Cramer discusses. On Friday, Jim Cramer, the host of Mad Money, expressed concern over President Donald Trump’s focus on the long-term […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'We recently published a list of Jim Cramer Talked About These 8 Stocks. In this article, we are going to take a look at where Caterpillar Inc. (NYSE:CAT) stands against other stocks that Jim Cramer discusses. On Friday, Jim Cramer, the host of Mad Money, expressed concern over President Donald Trump’s focus on the long-term […]'}",eb3cf9ee-7679-34c0-a8aa-de70c40ff32d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/jim-cramer-praises-caterpillar-inc-162427308.html?.tsrc=rss'}]",https://finance.yahoo.com/news/jim-cramer-praises-caterpillar-inc-162427308.html?.tsrc=rss,2025-04-10 16:24:27,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=16, tm_min=24, tm_sec=27, tm_wday=3, tm_yday=100, tm_isdst=0)","Jim Cramer Praises Caterpillar Inc. (CAT) CEO, But Urges Caution: “Let’s See What He Says First”","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Jim Cramer Praises Caterpillar Inc. (CAT) CEO, But Urges Caution: “Let’s See What He Says First”'}",CAT,Yahoo Finance,"Jim Cramer Praises Caterpillar Inc. (CAT) CEO, But Urges Caution: “Let’s See What He Says First” We recently published a list of Jim Cramer Talked About These 8 Stocks. In this article, we are going to take a look at where Caterpillar Inc. (NYSE:CAT) stands against other stocks that Jim Cramer discusses. On Friday, Jim Cramer, the host of Mad Money, expressed concern over President Donald Trump’s focus on the long-term […]",2025,4,10,3,426,72,96,16
"Even amid stock market turmoil, valuations still matter.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Even amid stock market turmoil, valuations still matter.'}",22f96ff7-02fe-346e-9d22-de71eaf149e4,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/10/ge-aerospace-deere-and-caterpillar-stocks-slumped/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=bde36d60-46e4-438a-aa86-0260c3c8d578&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/10/ge-aerospace-deere-and-caterpillar-stocks-slumped/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=bde36d60-46e4-438a-aa86-0260c3c8d578&.tsrc=rss,2025-04-10 15:25:46,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=15, tm_min=25, tm_sec=46, tm_wday=3, tm_yday=100, tm_isdst=0)","Why GE Aerospace, Deere, and Caterpillar Stocks Slumped Today","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Why GE Aerospace, Deere, and Caterpillar Stocks Slumped Today'}",CAT,Yahoo Finance,"Why GE Aerospace, Deere, and Caterpillar Stocks Slumped Today Even amid stock market turmoil, valuations still matter.",2025,4,10,3,118,17,61,9
Caterpillar (CAT) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': ""Caterpillar (CAT) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.""}",4267d688-8db8-3b3b-9ce2-e8185e0b26c4,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/caterpillar-cat-soars-9-9-103900544.html?.tsrc=rss'}]",https://finance.yahoo.com/news/caterpillar-cat-soars-9-9-103900544.html?.tsrc=rss,2025-04-10 10:39:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=10, tm_min=39, tm_sec=0, tm_wday=3, tm_yday=100, tm_isdst=0)",Caterpillar (CAT) Soars 9.9%: Is Further Upside Left in the Stock?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Caterpillar (CAT) Soars 9.9%: Is Further Upside Left in the Stock?'}",CAT,Yahoo Finance,Caterpillar (CAT) Soars 9.9%: Is Further Upside Left in the Stock? Caterpillar (CAT) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.,2025,4,10,3,272,42,66,11
"In times of volatility, investors often find comfort in a company maintaining a steady-as-we-go policy.  Caterpillar's consistency came from its dividend policy.  Such a move is a positive signal to investors that the company will do well enough to at least keep the dividend level.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': ""In times of volatility, investors often find comfort in a company maintaining a steady-as-we-go policy.  Caterpillar's consistency came from its dividend policy.  Such a move is a positive signal to investors that the company will do well enough to at least keep the dividend level.""}",49299a95-a2d2-32b1-bfb9-6e70aee12201,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/09/why-caterpillar-stock-zoomed-nearly-10-higher-on-w/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=e2b3ec5f-df4b-432d-8de5-634332f62cc7&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/09/why-caterpillar-stock-zoomed-nearly-10-higher-on-w/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=e2b3ec5f-df4b-432d-8de5-634332f62cc7&.tsrc=rss,2025-04-09 22:57:46,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=22, tm_min=57, tm_sec=46, tm_wday=2, tm_yday=99, tm_isdst=0)",Why Caterpillar Stock Zoomed Nearly 10% Higher on Wednesday,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Why Caterpillar Stock Zoomed Nearly 10% Higher on Wednesday'}",CAT,Yahoo Finance,"Why Caterpillar Stock Zoomed Nearly 10% Higher on Wednesday In times of volatility, investors often find comfort in a company maintaining a steady-as-we-go policy.  Caterpillar's consistency came from its dividend policy.  Such a move is a positive signal to investors that the company will do well enough to at least keep the dividend level.",2025,4,9,2,342,54,59,9
"We recently published a list of Jim Cramer Warns of a 36% Market Drop & Reviews These 9 Key Stocks. In this article, we are going to take a look at where Caterpillar Inc. (NYSE:CAT) stands against other stocks Jim Cramer discusses. In his appearance on CNBC’s Squawk on the Street on Monday, Jim Cramer […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'We recently published a list of Jim Cramer Warns of a 36% Market Drop & Reviews These 9 Key Stocks. In this article, we are going to take a look at where Caterpillar Inc. (NYSE:CAT) stands against other stocks Jim Cramer discusses. In his appearance on CNBC’s Squawk on the Street on Monday, Jim Cramer […]'}",525463e4-15d3-3440-a9a5-595aba1f72cb,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/jim-cramer-dilemma-investors-wait-160233189.html?.tsrc=rss'}]",https://finance.yahoo.com/news/jim-cramer-dilemma-investors-wait-160233189.html?.tsrc=rss,2025-04-09 16:02:33,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=16, tm_min=2, tm_sec=33, tm_wday=2, tm_yday=99, tm_isdst=0)",Jim Cramer’s Dilemma: Should Investors Wait or Buy the Dip in Caterpillar (CAT)?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Jim Cramer’s Dilemma: Should Investors Wait or Buy the Dip in Caterpillar (CAT)?'}",CAT,Yahoo Finance,"Jim Cramer’s Dilemma: Should Investors Wait or Buy the Dip in Caterpillar (CAT)? We recently published a list of Jim Cramer Warns of a 36% Market Drop & Reviews These 9 Key Stocks. In this article, we are going to take a look at where Caterpillar Inc. (NYSE:CAT) stands against other stocks Jim Cramer discusses. In his appearance on CNBC’s Squawk on the Street on Monday, Jim Cramer […]",2025,4,9,2,387,69,80,13
"The Board of Directors of Caterpillar Inc. (NYSE: CAT) voted today to maintain the quarterly dividend of one dollar and forty-one cents ($1.41) per share of common stock, payable May 20, 2025, to shareholders of record at the close of business on April 21, 2025.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'The Board of Directors of Caterpillar Inc. (NYSE: CAT) voted today to maintain the quarterly dividend of one dollar and forty-one cents ($1.41) per share of common stock, payable May 20, 2025, to shareholders of record at the close of business on April 21, 2025.'}",2d851ac5-b7bb-317b-aefe-d5d606b20d56,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/caterpillar-inc-maintains-dividend-125900624.html?.tsrc=rss'}]",https://finance.yahoo.com/news/caterpillar-inc-maintains-dividend-125900624.html?.tsrc=rss,2025-04-09 12:59:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=12, tm_min=59, tm_sec=0, tm_wday=2, tm_yday=99, tm_isdst=0)",Caterpillar Inc. Maintains Dividend,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Caterpillar Inc. Maintains Dividend'}",CAT,Yahoo Finance,"Caterpillar Inc. Maintains Dividend The Board of Directors of Caterpillar Inc. (NYSE: CAT) voted today to maintain the quarterly dividend of one dollar and forty-one cents ($1.41) per share of common stock, payable May 20, 2025, to shareholders of record at the close of business on April 21, 2025.",2025,4,9,2,298,49,35,4
UBS analyst Steven Fisher downgraded the stock to Sell from Hold. He slashed his price target by 37% to $243 a share from $385.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'UBS analyst Steven Fisher downgraded the stock to Sell from Hold. He slashed his price target by 37% to $243 a share from $385.'}",ca08ea79-ad65-33fa-90db-42c3c3dcc580,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/ca08ea79-ad65-33fa-90db-42c3c3dcc580/sell-caterpillar-stock%2C-says.html?.tsrc=rss'}]",https://finance.yahoo.com/m/ca08ea79-ad65-33fa-90db-42c3c3dcc580/sell-caterpillar-stock%2C-says.html?.tsrc=rss,2025-04-08 20:37:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=8, tm_hour=20, tm_min=37, tm_sec=0, tm_wday=1, tm_yday=98, tm_isdst=0)","Sell Caterpillar Stock, Says Analyst. More Pain Is Coming.","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=CAT&region=US&lang=en-US', 'value': 'Sell Caterpillar Stock, Says Analyst. More Pain Is Coming.'}",CAT,Yahoo Finance,"Sell Caterpillar Stock, Says Analyst. More Pain Is Coming. UBS analyst Steven Fisher downgraded the stock to Sell from Hold. He slashed his price target by 37% to $243 a share from $385.",2025,4,8,1,186,33,58,9
