summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Abigail Disney, filmmaker, philanthropist, and granddaughter of Walt Disney Co. co-founder Roy O. Disney, isn't holding back when it comes to the world's wealthiest—and she's naming names. In an interview published by The Guardian on April 7, she tore into billionaires who hoard wealth and dodge responsibility. ""I am of the belief that every billionaire who can't live on $999 million is kind of a sociopath,"" she said. Don't Miss: Hasbro, MGM, and Skechers trust this AI marketing firm — invest pr","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'Abigail Disney, filmmaker, philanthropist, and granddaughter of Walt Disney Co. co-founder Roy O. Disney, isn\'t holding back when it comes to the world\'s wealthiest—and she\'s naming names. In an interview published by The Guardian on April 7, she tore into billionaires who hoard wealth and dodge responsibility. ""I am of the belief that every billionaire who can\'t live on $999 million is kind of a sociopath,"" she said. Don\'t Miss: Hasbro, MGM, and Skechers trust this AI marketing firm — invest pr'}",479036e2-a0a1-3de9-9dea-0c94fb3e9dc7,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/where-shame-disney-heiress-calls-223050567.html?.tsrc=rss'}]",https://finance.yahoo.com/news/where-shame-disney-heiress-calls-223050567.html?.tsrc=rss,2025-04-14 22:30:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=22, tm_min=30, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","'Where Is the Shame?' — Disney Heiress Calls Out Elon Musk and Trump, Says Billionaires Who Can't Live on $999 Million Are 'Kind of Sociopaths'","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': ""'Where Is the Shame?' — Disney Heiress Calls Out Elon Musk and Trump, Says Billionaires Who Can't Live on $999 Million Are 'Kind of Sociopaths'""}",DIS,Yahoo Finance,"'Where Is the Shame?' — Disney Heiress Calls Out Elon Musk and Trump, Says Billionaires Who Can't Live on $999 Million Are 'Kind of Sociopaths' Abigail Disney, filmmaker, philanthropist, and granddaughter of Walt Disney Co. co-founder Roy O. Disney, isn't holding back when it comes to the world's wealthiest—and she's naming names. In an interview published by The Guardian on April 7, she tore into billionaires who hoard wealth and dodge responsibility. ""I am of the belief that every billionaire who can't live on $999 million is kind of a sociopath,"" she said. Don't Miss: Hasbro, MGM, and Skechers trust this AI marketing firm — invest pr",2025,4,14,0,644,107,143,25
"In the latest trading session, Walt Disney (DIS) closed at $84.66, marking a -0.27% move from the previous day.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'In the latest trading session, Walt Disney (DIS) closed at $84.66, marking a -0.27% move from the previous day.'}",c54b9785-fe13-3aa6-8550-57fa5932015e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/walt-disney-dis-stock-sinks-214517019.html?.tsrc=rss'}]",https://finance.yahoo.com/news/walt-disney-dis-stock-sinks-214517019.html?.tsrc=rss,2025-04-14 21:45:17,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=45, tm_sec=17, tm_wday=0, tm_yday=104, tm_isdst=0)",Walt Disney (DIS) Stock Sinks As Market Gains: What You Should Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'Walt Disney (DIS) Stock Sinks As Market Gains: What You Should Know'}",DIS,Yahoo Finance,"Walt Disney (DIS) Stock Sinks As Market Gains: What You Should Know In the latest trading session, Walt Disney (DIS) closed at $84.66, marking a -0.27% move from the previous day.",2025,4,14,0,179,31,67,12
"We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where The Walt Disney Company (NYSE:DIS) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where The Walt Disney Company (NYSE:DIS) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment […]'}",6980de86-a6a5-3e45-9469-573c3252015b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/walt-disney-company-dis-best-193054581.html?.tsrc=rss'}]",https://finance.yahoo.com/news/walt-disney-company-dis-best-193054581.html?.tsrc=rss,2025-04-14 19:30:54,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=30, tm_sec=54, tm_wday=0, tm_yday=104, tm_isdst=0)",Is Walt Disney Company (DIS) the Best Bargain Stock to Buy in May?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'Is Walt Disney Company\xa0(DIS) the Best Bargain Stock to Buy in May?'}",DIS,Yahoo Finance,"Is Walt Disney Company (DIS) the Best Bargain Stock to Buy in May? We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where The Walt Disney Company (NYSE:DIS) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment […]",2025,4,14,0,392,70,66,13
"We recently published a list of 10 Best Kid-Friendly Stocks to Buy According to Billionaires. In this article, we are going to take a look at where The Walt Disney Company (NYSE:DIS) stands against other best kid-friendly stocks to buy according to billionaires. The market has been undergoing a volatile spell these past few days. […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Kid-Friendly Stocks to Buy According to Billionaires. In this article, we are going to take a look at where The Walt Disney Company (NYSE:DIS) stands against other best kid-friendly stocks to buy according to billionaires. The market has been undergoing a volatile spell these past few days. […]'}",c085f870-c646-3bfe-94d7-11a51539b88d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/walt-disney-company-dis-best-215006491.html?.tsrc=rss'}]",https://finance.yahoo.com/news/walt-disney-company-dis-best-215006491.html?.tsrc=rss,2025-04-13 21:50:06,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=13, tm_hour=21, tm_min=50, tm_sec=6, tm_wday=6, tm_yday=103, tm_isdst=0)",Is The Walt Disney Company (DIS) the Best Kid-Friendly Stock to Buy According to Billionaires?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'Is The Walt Disney Company (DIS) the Best Kid-Friendly Stock to Buy According to Billionaires?'}",DIS,Yahoo Finance,"Is The Walt Disney Company (DIS) the Best Kid-Friendly Stock to Buy According to Billionaires? We recently published a list of 10 Best Kid-Friendly Stocks to Buy According to Billionaires. In this article, we are going to take a look at where The Walt Disney Company (NYSE:DIS) stands against other best kid-friendly stocks to buy according to billionaires. The market has been undergoing a volatile spell these past few days. […]",2025,4,13,6,430,71,94,15
"In early January, FuboTV's (NYSE: FUBO) story dramatically changed when it agreed to merge its business with Hulu.  FuboTV's stock rose sharply as investors applauded the deal it made with media giant Disney (NYSE: DIS).  Should you buy, sell, or hold FuboTV stock in 2025 before the transaction is completed?","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': ""In early January, FuboTV's (NYSE: FUBO) story dramatically changed when it agreed to merge its business with Hulu.  FuboTV's stock rose sharply as investors applauded the deal it made with media giant Disney (NYSE: DIS).  Should you buy, sell, or hold FuboTV stock in 2025 before the transaction is completed?""}",4d4a1b98-97ed-31e1-aa75-e4e59d6ad1af,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/12/is-fubotv-a-buy-sell-or-hold-in-2025/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=90cd229e-2592-4ef3-b28e-efda3ca194b5&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/12/is-fubotv-a-buy-sell-or-hold-in-2025/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=90cd229e-2592-4ef3-b28e-efda3ca194b5&.tsrc=rss,2025-04-12 07:14:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=12, tm_hour=7, tm_min=14, tm_sec=0, tm_wday=5, tm_yday=102, tm_isdst=0)","Is FuboTV: A Buy, Sell, or Hold in 2025?","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'Is FuboTV: A Buy, Sell, or Hold in 2025?'}",DIS,Yahoo Finance,"Is FuboTV: A Buy, Sell, or Hold in 2025? In early January, FuboTV's (NYSE: FUBO) story dramatically changed when it agreed to merge its business with Hulu.  FuboTV's stock rose sharply as investors applauded the deal it made with media giant Disney (NYSE: DIS).  Should you buy, sell, or hold FuboTV stock in 2025 before the transaction is completed?",2025,4,12,5,350,59,40,9
The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.'}",395656ca-5f97-3c33-8ba0-94b2fbb331ad,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/boost-portfolio-top-consumer-discretionary-130010750.html?.tsrc=rss'}]",https://finance.yahoo.com/news/boost-portfolio-top-consumer-discretionary-130010750.html?.tsrc=rss,2025-04-11 13:00:10,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=13, tm_min=0, tm_sec=10, tm_wday=4, tm_yday=101, tm_isdst=0)",How to Boost Your Portfolio with Top Consumer Discretionary Stocks Set to Beat Earnings,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'How to Boost Your Portfolio with Top Consumer Discretionary Stocks Set to Beat Earnings'}",DIS,Yahoo Finance,How to Boost Your Portfolio with Top Consumer Discretionary Stocks Set to Beat Earnings The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.,2025,4,11,4,204,33,87,14
"A number of stocks fell in the afternoon session after stocks gave back some of the gains from the previous day as the White House clarified the tariffs on imports from China would add up to 145%, while the baseline 10% tariffs remained in place for all countries. This reminded markets that the global trade environment remained volatile, limiting the potential for sustained gains.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'A number of stocks fell in the afternoon session after stocks gave back some of the gains from the previous day as the White House clarified the tariffs on imports from China would add up to 145%, while the baseline 10% tariffs remained in place for all countries. This reminded markets that the global trade environment remained volatile, limiting the potential for sustained gains.'}",bf6d1a15-13c9-346b-8745-d82e686246c3,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/columbia-sportswear-under-armour-carters-221903921.html?.tsrc=rss'}]",https://finance.yahoo.com/news/columbia-sportswear-under-armour-carters-221903921.html?.tsrc=rss,2025-04-10 22:19:03,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=22, tm_min=19, tm_sec=3, tm_wday=3, tm_yday=100, tm_isdst=0)","Columbia Sportswear, Under Armour, Carter's, Disney, and Warner Bros. Discovery Stocks Trade Down, What You Need To Know","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': ""Columbia Sportswear, Under Armour, Carter's, Disney, and Warner Bros. Discovery Stocks Trade Down, What You Need To Know""}",DIS,Yahoo Finance,"Columbia Sportswear, Under Armour, Carter's, Disney, and Warner Bros. Discovery Stocks Trade Down, What You Need To Know A number of stocks fell in the afternoon session after stocks gave back some of the gains from the previous day as the White House clarified the tariffs on imports from China would add up to 145%, while the baseline 10% tariffs remained in place for all countries. This reminded markets that the global trade environment remained volatile, limiting the potential for sustained gains.",2025,4,10,3,504,82,120,18
"Julie Hyman and Josh Lipton take a closer look at some of Thursday's trending tickers on Market Domination. Tariff risks weigh on Nike (NKE) as US President Trump increases the tariff on imports from China to 145%. Entertainment stocks like Disney (DIS), Warner Bros. Discovery (WBD), and Fox (FOX, FOXA) are falling after China cut imports of Hollywood content. Novavax (NVAX) stock plunges after US Health and Human Services Secretary Robert F. Kennedy Jr. questioned the efficacy of the company's vaccines. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': ""Julie Hyman and Josh Lipton take a closer look at some of Thursday's trending tickers on Market Domination. Tariff risks weigh on Nike (NKE) as US President Trump increases the tariff on imports from China to 145%. Entertainment stocks like Disney (DIS), Warner Bros. Discovery (WBD), and Fox (FOX, FOXA) are falling after China cut imports of Hollywood content. Novavax (NVAX) stock plunges after US Health and Human Services Secretary Robert F. Kennedy Jr. questioned the efficacy of the company's vaccines. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.""}",118e2f18-a4f6-3768-bbc6-48c7d5670318,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/nike-disney-novavax-trending-tickers-201810297.html?.tsrc=rss'}]",https://finance.yahoo.com/video/nike-disney-novavax-trending-tickers-201810297.html?.tsrc=rss,2025-04-10 20:18:10,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=18, tm_sec=10, tm_wday=3, tm_yday=100, tm_isdst=0)","Nike, Disney, Novavax: Trending Tickers","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'Nike, Disney, Novavax: Trending Tickers'}",DIS,Yahoo Finance,"Nike, Disney, Novavax: Trending Tickers Julie Hyman and Josh Lipton take a closer look at some of Thursday's trending tickers on Market Domination. Tariff risks weigh on Nike (NKE) as US President Trump increases the tariff on imports from China to 145%. Entertainment stocks like Disney (DIS), Warner Bros. Discovery (WBD), and Fox (FOX, FOXA) are falling after China cut imports of Hollywood content. Novavax (NVAX) stock plunges after US Health and Human Services Secretary Robert F. Kennedy Jr. questioned the efficacy of the company's vaccines. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.",2025,4,10,3,660,104,39,5
"A surprise tariff war twist hits U.S. entertainment, but the real story is what it signals for global investors.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'A surprise tariff war twist hits U.S. entertainment, but the real story is what it signals for global investors.'}",576a6261-b077-3a4c-9b00-dee0abe99930,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/china-just-canceled-hollywood-wall-190934115.html?.tsrc=rss'}]",https://finance.yahoo.com/news/china-just-canceled-hollywood-wall-190934115.html?.tsrc=rss,2025-04-10 19:09:34,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=9, tm_sec=34, tm_wday=3, tm_yday=100, tm_isdst=0)",China Just Canceled Hollywood--And Wall Street Should Pay Attention,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'China Just Canceled Hollywood--And Wall Street Should Pay Attention'}",DIS,Yahoo Finance,"China Just Canceled Hollywood--And Wall Street Should Pay Attention A surprise tariff war twist hits U.S. entertainment, but the real story is what it signals for global investors.",2025,4,10,3,180,28,67,9
The China Film Administration says that the U.S.’s latest tariff decisions has led it to reduce Hollywood film imports.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'The China Film Administration says that the U.S.’s latest tariff decisions has led it to reduce Hollywood film imports.'}",0d271ec8-b539-3289-a098-3e8c6521e4c4,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/0d271ec8-b539-3289-a098-3e8c6521e4c4/disney-and-warner-bros..html?.tsrc=rss'}]",https://finance.yahoo.com/m/0d271ec8-b539-3289-a098-3e8c6521e4c4/disney-and-warner-bros..html?.tsrc=rss,2025-04-10 18:39:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=18, tm_min=39, tm_sec=0, tm_wday=3, tm_yday=100, tm_isdst=0)",Disney and Warner Bros. Stocks Are Sinking. China Is Cutting U.S. Film Imports.,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=DIS&region=US&lang=en-US', 'value': 'Disney and Warner Bros. Stocks Are Sinking. China Is Cutting U.S. Film Imports.'}",DIS,Yahoo Finance,Disney and Warner Bros. Stocks Are Sinking. China Is Cutting U.S. Film Imports. The China Film Administration says that the U.S.’s latest tariff decisions has led it to reduce Hollywood film imports.,2025,4,10,3,199,32,79,13
