summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Wrapping up Q4 earnings, we look at the numbers and key takeaways for the general industrial machinery stocks, including Albany (NYSE:AIN) and its peers.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Wrapping up Q4 earnings, we look at the numbers and key takeaways for the general industrial machinery stocks, including Albany (NYSE:AIN) and its peers.'}",70865350-c034-3567-9c80-dc0f713764d9,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/q4-rundown-albany-nyse-ain-090855489.html?.tsrc=rss'}]",https://finance.yahoo.com/news/q4-rundown-albany-nyse-ain-090855489.html?.tsrc=rss,2025-04-14 09:08:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=9, tm_min=8, tm_sec=55, tm_wday=0, tm_yday=104, tm_isdst=0)",Q4 Rundown: Albany (NYSE:AIN) Vs Other General Industrial Machinery Stocks,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Q4 Rundown: Albany (NYSE:AIN) Vs Other General Industrial Machinery Stocks'}",GE,Yahoo Finance,"Q4 Rundown: Albany (NYSE:AIN) Vs Other General Industrial Machinery Stocks Wrapping up Q4 earnings, we look at the numbers and key takeaways for the general industrial machinery stocks, including Albany (NYSE:AIN) and its peers.",2025,4,14,0,228,34,74,10
"Looking back on general industrial machinery stocks’ Q4 earnings, we examine this quarter’s best and worst performers, including Luxfer (NYSE:LXFR) and its peers.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Looking back on general industrial machinery stocks’ Q4 earnings, we examine this quarter’s best and worst performers, including Luxfer (NYSE:LXFR) and its peers.'}",6f3fd88d-0b59-39de-b7b1-c5744e8cd071,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/q4-earnings-highlights-luxfer-nyse-091712174.html?.tsrc=rss'}]",https://finance.yahoo.com/news/q4-earnings-highlights-luxfer-nyse-091712174.html?.tsrc=rss,2025-04-11 09:17:12,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=17, tm_sec=12, tm_wday=4, tm_yday=101, tm_isdst=0)",Q4 Earnings Highlights: Luxfer (NYSE:LXFR) Vs The Rest Of The General Industrial Machinery Stocks,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Q4 Earnings Highlights: Luxfer (NYSE:LXFR) Vs The Rest Of The General Industrial Machinery Stocks'}",GE,Yahoo Finance,"Q4 Earnings Highlights: Luxfer (NYSE:LXFR) Vs The Rest Of The General Industrial Machinery Stocks Looking back on general industrial machinery stocks’ Q4 earnings, we examine this quarter’s best and worst performers, including Luxfer (NYSE:LXFR) and its peers.",2025,4,11,4,260,37,97,14
"As the craze of earnings season draws to a close, here’s a look back at some of the most exciting (and some less so) results from Q4. Today, we are looking at general industrial machinery stocks, starting with Otis (NYSE:OTIS).","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'As the craze of earnings season draws to a close, here’s a look back at some of the most exciting (and some less so) results from Q4. Today, we are looking at general industrial machinery stocks, starting with Otis (NYSE:OTIS).'}",228aedde-ddac-309e-9130-ddae1f27a415,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/general-industrial-machinery-stocks-q4-091547804.html?.tsrc=rss'}]",https://finance.yahoo.com/news/general-industrial-machinery-stocks-q4-091547804.html?.tsrc=rss,2025-04-11 09:15:47,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=15, tm_sec=47, tm_wday=4, tm_yday=101, tm_isdst=0)",General Industrial Machinery Stocks Q4 Results: Benchmarking Otis (NYSE:OTIS),"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'General Industrial Machinery Stocks Q4 Results: Benchmarking Otis (NYSE:OTIS)'}",GE,Yahoo Finance,"General Industrial Machinery Stocks Q4 Results: Benchmarking Otis (NYSE:OTIS) As the craze of earnings season draws to a close, here’s a look back at some of the most exciting (and some less so) results from Q4. Today, we are looking at general industrial machinery stocks, starting with Otis (NYSE:OTIS).",2025,4,11,4,305,49,77,9
"A number of stocks fell in the afternoon session after stocks gave back some of the gains from the previous day as the White House clarified the tariffs on imports from China would add up to 145%, while the baseline 10% tariffs remained in place for all countries. This reminded markets that the global trade environment remained volatile, limiting the potential for sustained gains.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'A number of stocks fell in the afternoon session after stocks gave back some of the gains from the previous day as the White House clarified the tariffs on imports from China would add up to 145%, while the baseline 10% tariffs remained in place for all countries. This reminded markets that the global trade environment remained volatile, limiting the potential for sustained gains.'}",7f0c2a70-248e-3de7-8aa8-8db8d97029ce,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/pegasystems-hilton-ge-aerospace-match-210806948.html?.tsrc=rss'}]",https://finance.yahoo.com/news/pegasystems-hilton-ge-aerospace-match-210806948.html?.tsrc=rss,2025-04-10 21:08:06,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=8, tm_sec=6, tm_wday=3, tm_yday=100, tm_isdst=0)","Pegasystems, Hilton, GE Aerospace, Match Group, and Yelp Shares Are Falling, What You Need To Know","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Pegasystems, Hilton, GE Aerospace, Match Group, and Yelp Shares Are Falling, What You Need To Know'}",GE,Yahoo Finance,"Pegasystems, Hilton, GE Aerospace, Match Group, and Yelp Shares Are Falling, What You Need To Know A number of stocks fell in the afternoon session after stocks gave back some of the gains from the previous day as the White House clarified the tariffs on imports from China would add up to 145%, while the baseline 10% tariffs remained in place for all countries. This reminded markets that the global trade environment remained volatile, limiting the potential for sustained gains.",2025,4,10,3,482,80,98,16
"Even amid stock market turmoil, valuations still matter.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Even amid stock market turmoil, valuations still matter.'}",22f96ff7-02fe-346e-9d22-de71eaf149e4,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/10/ge-aerospace-deere-and-caterpillar-stocks-slumped/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=bde36d60-46e4-438a-aa86-0260c3c8d578&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/10/ge-aerospace-deere-and-caterpillar-stocks-slumped/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=bde36d60-46e4-438a-aa86-0260c3c8d578&.tsrc=rss,2025-04-10 15:25:46,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=15, tm_min=25, tm_sec=46, tm_wday=3, tm_yday=100, tm_isdst=0)","Why GE Aerospace, Deere, and Caterpillar Stocks Slumped Today","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Why GE Aerospace, Deere, and Caterpillar Stocks Slumped Today'}",GE,Yahoo Finance,"Why GE Aerospace, Deere, and Caterpillar Stocks Slumped Today Even amid stock market turmoil, valuations still matter.",2025,4,10,3,118,17,61,9
"The end of the earnings season is always a good time to take a step back and see who shined (and who not so much). Let’s take a look at how medical devices & supplies - imaging, diagnostics stocks fared in Q4, starting with Hologic (NASDAQ:HOLX).","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'The end of the earnings season is always a good time to take a step back and see who shined (and who not so much). Let’s take a look at how medical devices & supplies - imaging, diagnostics stocks fared in Q4, starting with Hologic (NASDAQ:HOLX).'}",62261566-cd43-32e0-93c0-af4193f56e8e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/q4-earnings-outperformers-hologic-nasdaq-091453080.html?.tsrc=rss'}]",https://finance.yahoo.com/news/q4-earnings-outperformers-hologic-nasdaq-091453080.html?.tsrc=rss,2025-04-10 09:14:53,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=9, tm_min=14, tm_sec=53, tm_wday=3, tm_yday=100, tm_isdst=0)","Q4 Earnings Outperformers: Hologic (NASDAQ:HOLX) And The Rest Of The Medical Devices & Supplies - Imaging, Diagnostics Stocks","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Q4 Earnings Outperformers: Hologic (NASDAQ:HOLX) And The Rest Of The Medical Devices & Supplies - Imaging, Diagnostics Stocks'}",GE,Yahoo Finance,"Q4 Earnings Outperformers: Hologic (NASDAQ:HOLX) And The Rest Of The Medical Devices & Supplies - Imaging, Diagnostics Stocks The end of the earnings season is always a good time to take a step back and see who shined (and who not so much). Let’s take a look at how medical devices & supplies - imaging, diagnostics stocks fared in Q4, starting with Hologic (NASDAQ:HOLX).",2025,4,10,3,372,64,125,18
"We recently published a list of 10 Defense Stocks with the Highest EPS Growth in 5 Years. In this article, we will take a look at where GE Aerospace (NYSE:GE) stands against other stocks with the highest EPS growth during this period. The world has been embroiled in deadly political and armed conflict over the […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'We recently published a list of 10 Defense Stocks with the Highest EPS Growth in 5 Years. In this article, we will take a look at where GE Aerospace (NYSE:GE) stands against other stocks with the highest EPS growth during this period. The world has been embroiled in deadly political and armed conflict over the […]'}",69f70892-2901-3a90-832c-2d7df830ba7f,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/ge-aerospace-ge-among-defense-221453743.html?.tsrc=rss'}]",https://finance.yahoo.com/news/ge-aerospace-ge-among-defense-221453743.html?.tsrc=rss,2025-04-08 22:14:53,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=8, tm_hour=22, tm_min=14, tm_sec=53, tm_wday=1, tm_yday=98, tm_isdst=0)",Is GE Aerospace (GE) Among Defense Stocks with the Highest EPS Growth in 5 Years?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Is GE Aerospace (GE) Among Defense Stocks with the Highest EPS Growth in 5 Years?'}",GE,Yahoo Finance,"Is GE Aerospace (GE) Among Defense Stocks with the Highest EPS Growth in 5 Years? We recently published a list of 10 Defense Stocks with the Highest EPS Growth in 5 Years. In this article, we will take a look at where GE Aerospace (NYSE:GE) stands against other stocks with the highest EPS growth during this period. The world has been embroiled in deadly political and armed conflict over the […]",2025,4,8,1,397,71,81,15
"The S&amp;P 500 is often seen as a benchmark for strong businesses, but that doesn’t mean every stock is worth owning. Some companies face significant challenges, whether it’s stagnating growth, heavy debt, or disruptive new competitors.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'The S&amp;P 500 is often seen as a benchmark for strong businesses, but that doesn’t mean every stock is worth owning. Some companies face significant challenges, whether it’s stagnating growth, heavy debt, or disruptive new competitors.'}",662b440b-4820-3628-8c36-56241adf8a4d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/2-p-500-stocks-impressive-142558603.html?.tsrc=rss'}]",https://finance.yahoo.com/news/2-p-500-stocks-impressive-142558603.html?.tsrc=rss,2025-04-08 14:25:58,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=8, tm_hour=14, tm_min=25, tm_sec=58, tm_wday=1, tm_yday=98, tm_isdst=0)",2 S&P 500 Stocks with Impressive Fundamentals and 1 to Steer Clear Of,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': '2 S&P 500 Stocks with Impressive Fundamentals and 1 to Steer Clear Of'}",GE,Yahoo Finance,"2 S&P 500 Stocks with Impressive Fundamentals and 1 to Steer Clear Of The S&amp;P 500 is often seen as a benchmark for strong businesses, but that doesn’t mean every stock is worth owning. Some companies face significant challenges, whether it’s stagnating growth, heavy debt, or disruptive new competitors.",2025,4,8,1,307,49,69,13
"As the Q4 earnings season wraps, let’s dig into this quarter’s best and worst performers in the general industrial machinery industry, including John Bean (NYSE:JBTM) and its peers.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'As the Q4 earnings season wraps, let’s dig into this quarter’s best and worst performers in the general industrial machinery industry, including John Bean (NYSE:JBTM) and its peers.'}",1e771ad3-4d7b-3616-ae54-9c26578d52a6,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/general-industrial-machinery-stocks-q4-090609222.html?.tsrc=rss'}]",https://finance.yahoo.com/news/general-industrial-machinery-stocks-q4-090609222.html?.tsrc=rss,2025-04-07 09:06:09,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=7, tm_hour=9, tm_min=6, tm_sec=9, tm_wday=0, tm_yday=97, tm_isdst=0)",General Industrial Machinery Stocks Q4 Results: Benchmarking John Bean (NYSE:JBTM),"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'General Industrial Machinery Stocks Q4 Results: Benchmarking John Bean (NYSE:JBTM)'}",GE,Yahoo Finance,"General Industrial Machinery Stocks Q4 Results: Benchmarking John Bean (NYSE:JBTM) As the Q4 earnings season wraps, let’s dig into this quarter’s best and worst performers in the general industrial machinery industry, including John Bean (NYSE:JBTM) and its peers.",2025,4,7,0,264,38,82,10
"Shares of the companies spun off from the former industrial icon General Electric were all tanking Friday, led by medical device maker GE HealthCare, on investor fears that they would be hurt by Beijing’s retaliatory levies countering President Donald Trump’s tariffs.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': 'Shares of the companies spun off from the former industrial icon General Electric were all tanking Friday, led by medical device maker GE HealthCare, on investor fears that they would be hurt by Beijing’s retaliatory levies countering President Donald Trump’s tariffs.'}",a67e5e6e-3f61-35ee-bff3-0ce6a4e8a369,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.investopedia.com/ge-healthcare-vernova-aerospace-stocks-all-tank-on-china-s-retaliatory-tariffs-11709253?.tsrc=rss'}]",https://www.investopedia.com/ge-healthcare-vernova-aerospace-stocks-all-tank-on-china-s-retaliatory-tariffs-11709253?.tsrc=rss,2025-04-04 17:16:48,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=4, tm_hour=17, tm_min=16, tm_sec=48, tm_wday=4, tm_yday=94, tm_isdst=0)","GE HealthCare, Vernova, Aerospace Stocks All Tank on China's Retaliatory Tariffs","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=GE&region=US&lang=en-US', 'value': ""GE HealthCare, Vernova, Aerospace Stocks All Tank on China's Retaliatory Tariffs""}",GE,Yahoo Finance,"GE HealthCare, Vernova, Aerospace Stocks All Tank on China's Retaliatory Tariffs Shares of the companies spun off from the former industrial icon General Electric were all tanking Friday, led by medical device maker GE HealthCare, on investor fears that they would be hurt by Beijing’s retaliatory levies countering President Donald Trump’s tariffs.",2025,4,4,4,349,52,80,11
