summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"WASHINGTON (Reuters) -Microsoft said on Tuesday it signed a contract for a project in Louisiana that would remove 6.75 million metric tons of carbon dioxide over 15 years, which it says is the world's biggest permanent carbon removal project to date.  The technology giant's greenhouse gas emissions were 29.1% higher than 2020 levels last year amid growing demand for energy for artificial intelligence uses and it last reported annual greenhouse gas emissions of 17.2 million tons at the end of 2023.  The bioenergy carbon capture and storage project being developed by carbon capture company AtmosClear is located at the Port of Greater Baton Rouge and will use materials like sugarcane bagasse and forest trimmings to generate energy and capture the associated carbon emissions and store them underground.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': ""WASHINGTON (Reuters) -Microsoft said on Tuesday it signed a contract for a project in Louisiana that would remove 6.75 million metric tons of carbon dioxide over 15 years, which it says is the world's biggest permanent carbon removal project to date.  The technology giant's greenhouse gas emissions were 29.1% higher than 2020 levels last year amid growing demand for energy for artificial intelligence uses and it last reported annual greenhouse gas emissions of 17.2 million tons at the end of 2023.  The bioenergy carbon capture and storage project being developed by carbon capture company AtmosClear is located at the Port of Greater Baton Rouge and will use materials like sugarcane bagasse and forest trimmings to generate energy and capture the associated carbon emissions and store them underground.""}",03eeb2d8-9762-3eca-b9f6-66380576751f,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ca.finance.yahoo.com/news/microsoft-signs-large-carbon-removal-090352364.html?.tsrc=rss'}]",https://ca.finance.yahoo.com/news/microsoft-signs-large-carbon-removal-090352364.html?.tsrc=rss,2025-04-15 09:03:52,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=9, tm_min=3, tm_sec=52, tm_wday=1, tm_yday=105, tm_isdst=0)",Microsoft signs large carbon removal deal backing AtmosClear's Louisiana project,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': ""Microsoft signs large carbon removal deal backing AtmosClear's Louisiana project""}",MSFT,Yahoo Finance,"Microsoft signs large carbon removal deal backing AtmosClear's Louisiana project WASHINGTON (Reuters) -Microsoft said on Tuesday it signed a contract for a project in Louisiana that would remove 6.75 million metric tons of carbon dioxide over 15 years, which it says is the world's biggest permanent carbon removal project to date.  The technology giant's greenhouse gas emissions were 29.1% higher than 2020 levels last year amid growing demand for energy for artificial intelligence uses and it last reported annual greenhouse gas emissions of 17.2 million tons at the end of 2023.  The bioenergy carbon capture and storage project being developed by carbon capture company AtmosClear is located at the Port of Greater Baton Rouge and will use materials like sugarcane bagasse and forest trimmings to generate energy and capture the associated carbon emissions and store them underground.",2025,4,15,1,890,137,80,10
"Microsoft (MSFT) concluded the recent trading session at $387.81, signifying a -0.16% move from its prior day's close.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': ""Microsoft (MSFT) concluded the recent trading session at $387.81, signifying a -0.16% move from its prior day's close.""}",50ad0294-1ec3-3f41-97cb-9d51d4d9ec68,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/microsoft-msft-stock-slides-market-214515597.html?.tsrc=rss'}]",https://finance.yahoo.com/news/microsoft-msft-stock-slides-market-214515597.html?.tsrc=rss,2025-04-14 21:45:15,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=45, tm_sec=15, tm_wday=0, tm_yday=104, tm_isdst=0)",Microsoft (MSFT) Stock Slides as Market Rises: Facts to Know Before You Trade,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Microsoft (MSFT) Stock Slides as Market Rises: Facts to Know Before You Trade'}",MSFT,Yahoo Finance,"Microsoft (MSFT) Stock Slides as Market Rises: Facts to Know Before You Trade Microsoft (MSFT) concluded the recent trading session at $387.81, signifying a -0.16% move from its prior day's close.",2025,4,14,0,196,31,77,13
"The Magnificent Seven stocks dropped Monday, as Apple rallied. Nvidia, Amazon, Meta and Tesla sold off on the stock market today.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'The Magnificent Seven stocks dropped Monday, as Apple rallied. Nvidia, Amazon, Meta and Tesla sold off on the stock market today.'}",4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks%3A.html?.tsrc=rss'}]",https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks%3A.html?.tsrc=rss,2025-04-14 17:05:42,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=5, tm_sec=42, tm_wday=0, tm_yday=104, tm_isdst=0)","Magnificent Seven Stocks: Apple Rallies; Nvidia, Amazon, Meta, Tesla Slide","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Magnificent Seven Stocks: Apple Rallies; Nvidia, Amazon, Meta, Tesla Slide'}",MSFT,Yahoo Finance,"Magnificent Seven Stocks: Apple Rallies; Nvidia, Amazon, Meta, Tesla Slide The Magnificent Seven stocks dropped Monday, as Apple rallied. Nvidia, Amazon, Meta and Tesla sold off on the stock market today.",2025,4,14,0,204,31,74,10
"Nvidia on Monday said it will soon design and build factories to produce Nvidia AI supercomputers ""entirely in the US.""","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Nvidia on Monday said it will soon design and build factories to produce Nvidia AI supercomputers ""entirely in the US.""'}",846ece67-dd14-447b-8333-4a4792a7d628,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/nvidia-commits-500-billion-to-ai-infrastructure-buildout-in-us-will-bring-supercomputer-production-to-texas-143540782.html?.tsrc=rss'}]",https://finance.yahoo.com/news/nvidia-commits-500-billion-to-ai-infrastructure-buildout-in-us-will-bring-supercomputer-production-to-texas-143540782.html?.tsrc=rss,2025-04-14 14:35:40,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=14, tm_min=35, tm_sec=40, tm_wday=0, tm_yday=104, tm_isdst=0)","Nvidia commits $500 billion to AI infrastructure buildout in US, will bring supercomputer production to Texas","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Nvidia commits $500 billion to AI infrastructure buildout in US, will bring supercomputer production to Texas'}",MSFT,Yahoo Finance,"Nvidia commits $500 billion to AI infrastructure buildout in US, will bring supercomputer production to Texas Nvidia on Monday said it will soon design and build factories to produce Nvidia AI supercomputers ""entirely in the US.""",2025,4,14,0,229,36,109,16
"Microsoft (NASDAQ:MSFT) CEO Satya Nadella isn't just celebrating the company's 50th birthday—he's laying the groundwork for its next 50 years. And it starts with artificial intelligence taking center stage. Nadella believes the company is about to launch something as revolutionary as Excel or PowerPoint once were: its AI assistant, Copilot. The Inbox of the Future Might Not Look Like an Inbox at All Nadella recently sat down with GeekWire to reflect on the company’s evolution. He traced Microsof","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': ""Microsoft (NASDAQ:MSFT) CEO Satya Nadella isn't just celebrating the company's 50th birthday—he's laying the groundwork for its next 50 years. And it starts with artificial intelligence taking center stage. Nadella believes the company is about to launch something as revolutionary as Excel or PowerPoint once were: its AI assistant, Copilot. The Inbox of the Future Might Not Look Like an Inbox at All Nadella recently sat down with GeekWire to reflect on the company’s evolution. He traced Microsof""}",19fa55ac-fbc8-3d41-ab67-2d6622556363,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/satya-nadella-says-ai-needs-140107193.html?.tsrc=rss'}]",https://finance.yahoo.com/news/satya-nadella-says-ai-needs-140107193.html?.tsrc=rss,2025-04-14 14:01:07,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=14, tm_min=1, tm_sec=7, tm_wday=0, tm_yday=104, tm_isdst=0)",Satya Nadella Says AI Needs A 'New Type Of Inbox'—And Believes Microsoft's Copilot Will Be As Big As Excel And PowerPoint,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': ""Satya Nadella Says AI Needs A 'New Type Of Inbox'—And Believes Microsoft's Copilot Will Be As Big As Excel And PowerPoint""}",MSFT,Yahoo Finance,"Satya Nadella Says AI Needs A 'New Type Of Inbox'—And Believes Microsoft's Copilot Will Be As Big As Excel And PowerPoint Microsoft (NASDAQ:MSFT) CEO Satya Nadella isn't just celebrating the company's 50th birthday—he's laying the groundwork for its next 50 years. And it starts with artificial intelligence taking center stage. Nadella believes the company is about to launch something as revolutionary as Excel or PowerPoint once were: its AI assistant, Copilot. The Inbox of the Future Might Not Look Like an Inbox at All Nadella recently sat down with GeekWire to reflect on the company’s evolution. He traced Microsof",2025,4,14,0,622,99,121,21
"We recently published a list of the 13 Best Technology Dividend Stocks to Invest in. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against other best technology dividend stocks. There was a time when tech stocks drew investor interest purely for their growth potential. But more recently, […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'We recently published a list of the 13 Best Technology Dividend Stocks to Invest in. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against other best technology dividend stocks. There was a time when tech stocks drew investor interest purely for their growth potential. But more recently, […]'}",a1ab799f-03fa-3ac3-9345-9e4bd7c6df3e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/microsoft-corporation-msft-best-technology-131533889.html?.tsrc=rss'}]",https://finance.yahoo.com/news/microsoft-corporation-msft-best-technology-131533889.html?.tsrc=rss,2025-04-14 13:15:33,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=15, tm_sec=33, tm_wday=0, tm_yday=104, tm_isdst=0)",Is Microsoft Corporation (MSFT) the Best Technology Dividend Stock to Invest in?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Is Microsoft Corporation (MSFT) the Best Technology Dividend Stock to Invest in?'}",MSFT,Yahoo Finance,"Is Microsoft Corporation (MSFT) the Best Technology Dividend Stock to Invest in? We recently published a list of the 13 Best Technology Dividend Stocks to Invest in. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against other best technology dividend stocks. There was a time when tech stocks drew investor interest purely for their growth potential. But more recently, […]",2025,4,14,0,424,68,80,12
"Microsoft (MSFT) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Microsoft (MSFT) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.'}",d50c5e51-3387-39a8-95dd-b336a2d42206,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/trending-stock-microsoft-corporation-msft-130014724.html?.tsrc=rss'}]",https://finance.yahoo.com/news/trending-stock-microsoft-corporation-msft-130014724.html?.tsrc=rss,2025-04-14 13:00:14,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=0, tm_sec=14, tm_wday=0, tm_yday=104, tm_isdst=0)",Is Trending Stock Microsoft Corporation (MSFT) a Buy Now?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Is Trending Stock Microsoft Corporation (MSFT) a Buy Now?'}",MSFT,Yahoo Finance,"Is Trending Stock Microsoft Corporation (MSFT) a Buy Now? Microsoft (MSFT) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",2025,4,14,0,198,34,57,9
"While Microsoft has backed off some leases recently with its data center buildout, both Amazon (NASDAQ: AMZN) and Alphabet (NASDAQ: GOOGL) (NASDAQ: GOOG) look prepared to go full steam ahead.  Microsoft still plans to spend around $80 billion on infrastructure capital expenditures (capex) for artificial intelligence (AI) this fiscal year, but its fiscal year ends in June, only a couple of months from now.  For its part, OpenAI is looking to build out its own capacity; it's part of Project Stargate, which plans to spend $500 billion on AI data centers over the next few years.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': ""While Microsoft has backed off some leases recently with its data center buildout, both Amazon (NASDAQ: AMZN) and Alphabet (NASDAQ: GOOGL) (NASDAQ: GOOG) look prepared to go full steam ahead.  Microsoft still plans to spend around $80 billion on infrastructure capital expenditures (capex) for artificial intelligence (AI) this fiscal year, but its fiscal year ends in June, only a couple of months from now.  For its part, OpenAI is looking to build out its own capacity; it's part of Project Stargate, which plans to spend $500 billion on AI data centers over the next few years.""}",704aa766-104e-3d3e-8b38-71b25ef442df,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/13/amazon-and-alphabet-bet-big-on-ai-why-history-says/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=38628e90-a4f1-47f2-b7f9-5bedaf6b9ab9&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/13/amazon-and-alphabet-bet-big-on-ai-why-history-says/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=38628e90-a4f1-47f2-b7f9-5bedaf6b9ab9&.tsrc=rss,2025-04-13 22:45:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=45, tm_sec=0, tm_wday=6, tm_yday=103, tm_isdst=0)",Amazon and Alphabet Bet Big on AI. Why History Says It's Time to Buy Both Stocks,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': ""Amazon and Alphabet Bet Big on AI. Why History Says It's Time to Buy Both Stocks""}",MSFT,Yahoo Finance,"Amazon and Alphabet Bet Big on AI. Why History Says It's Time to Buy Both Stocks While Microsoft has backed off some leases recently with its data center buildout, both Amazon (NASDAQ: AMZN) and Alphabet (NASDAQ: GOOGL) (NASDAQ: GOOG) look prepared to go full steam ahead.  Microsoft still plans to spend around $80 billion on infrastructure capital expenditures (capex) for artificial intelligence (AI) this fiscal year, but its fiscal year ends in June, only a couple of months from now.  For its part, OpenAI is looking to build out its own capacity; it's part of Project Stargate, which plans to spend $500 billion on AI data centers over the next few years.",2025,4,13,6,662,112,80,16
Various comments from the Trump administration over the weekend regarding tariffs on consumer electronics hint at another chaotic week on Wall Street and in Washington.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Various comments from the Trump administration over the weekend regarding tariffs on consumer electronics hint at another chaotic week on Wall Street and in Washington.'}",9544818b-4439-3c51-8cfe-b663dbdbf9f8,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/9544818b-4439-3c51-8cfe-b663dbdbf9f8/shifting-signals-on-tech.html?.tsrc=rss'}]",https://finance.yahoo.com/m/9544818b-4439-3c51-8cfe-b663dbdbf9f8/shifting-signals-on-tech.html?.tsrc=rss,2025-04-13 22:27:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=27, tm_sec=0, tm_wday=6, tm_yday=103, tm_isdst=0)",Shifting Signals on Tech Tariffs Fuel Fresh Trade Uncertainty,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Shifting Signals on Tech Tariffs Fuel Fresh Trade Uncertainty'}",MSFT,Yahoo Finance,Shifting Signals on Tech Tariffs Fuel Fresh Trade Uncertainty Various comments from the Trump administration over the weekend regarding tariffs on consumer electronics hint at another chaotic week on Wall Street and in Washington.,2025,4,13,6,230,34,61,9
"We recently published a list of 30 Best AI Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against other best AI stocks to buy according to billionaires. The optimism around the United States economy over the past few months, largely due […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'We recently published a list of 30 Best AI Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against other best AI stocks to buy according to billionaires. The optimism around the United States economy over the past few months, largely due […]'}",2e8e23d1-611d-346b-870d-29c28fd5cb90,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/microsoft-msft-hits-13b-ai-180154434.html?.tsrc=rss'}]",https://finance.yahoo.com/news/microsoft-msft-hits-13b-ai-180154434.html?.tsrc=rss,2025-04-13 18:01:54,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=13, tm_hour=18, tm_min=1, tm_sec=54, tm_wday=6, tm_yday=103, tm_isdst=0)","Microsoft (MSFT) Hits $13B AI Revenue Run Rate, Plans $80B Investment","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=MSFT&region=US&lang=en-US', 'value': 'Microsoft (MSFT) Hits $13B AI Revenue Run Rate, Plans $80B Investment'}",MSFT,Yahoo Finance,"Microsoft (MSFT) Hits $13B AI Revenue Run Rate, Plans $80B Investment We recently published a list of 30 Best AI Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against other best AI stocks to buy according to billionaires. The optimism around the United States economy over the past few months, largely due […]",2025,4,13,6,401,67,69,11
