summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"(Bloomberg) -- TikTok users in the US are being inundated with videos from Chinese influencers encouraging American buyers to overcome punitive Trump tariffs by buying direct from the “world’s factory” — China.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageMostly filmed at Chinese fa","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': '(Bloomberg) -- TikTok users in the US are being inundated with videos from Chinese influencers encouraging American buyers to overcome punitive Trump tariffs by buying direct from the “world’s factory” — China.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageMostly filmed at Chinese fa'}",1df752fa-086a-3534-a60d-565d957ed820,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/china-suppliers-mock-tariffs-nike-151351512.html?.tsrc=rss'}]",https://finance.yahoo.com/news/china-suppliers-mock-tariffs-nike-151351512.html?.tsrc=rss,2025-04-15 00:18:38,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=0, tm_min=18, tm_sec=38, tm_wday=1, tm_yday=105, tm_isdst=0)","China Suppliers Mock Tariffs With Nike, Lululemon Deals on TikTok","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'China Suppliers Mock Tariffs With Nike, Lululemon\xa0Deals on\xa0TikTok'}",NKE,Yahoo Finance,"China Suppliers Mock Tariffs With Nike, Lululemon Deals on TikTok (Bloomberg) -- TikTok users in the US are being inundated with videos from Chinese influencers encouraging American buyers to overcome punitive Trump tariffs by buying direct from the “world’s factory” — China.Most Read from BloombergHow Did This Suburb Figure Out Mass Transit?The Secret Formula for Faster TrainsEven Oslo Has an Air Quality ProblemNYC Tourist Helicopter Crashes in Hudson River, Killing SixLisbon Mayor Wants Companies to Help Fix City’s Housing ShortageMostly filmed at Chinese fa",2025,4,15,1,566,84,65,10
"Nike (NYSE:NKE) recently announced an innovative collaboration with Kool-Aid, unveiling the vibrant Nike x Kool-Aid Ja 2 sneaker, which incorporates playful design elements inspired by NBA star Ja Morant's favorite flavors. Despite this launch, Nike's share price dipped 2.2% over the past week, a movement contrasting with the broader market’s 5.8% gain. This slight decline in Nike's price might not align with the broader market trend influenced by external factors, such as overall market...","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': ""Nike (NYSE:NKE) recently announced an innovative collaboration with Kool-Aid, unveiling the vibrant Nike x Kool-Aid Ja 2 sneaker, which incorporates playful design elements inspired by NBA star Ja Morant's favorite flavors. Despite this launch, Nike's share price dipped 2.2% over the past week, a movement contrasting with the broader market’s 5.8% gain. This slight decline in Nike's price might not align with the broader market trend influenced by external factors, such as overall market...""}",a172022f-90cb-3643-93ba-6af4511f00b1,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/nike-nyse-nke-unveils-vibrant-172815919.html?.tsrc=rss'}]",https://finance.yahoo.com/news/nike-nyse-nke-unveils-vibrant-172815919.html?.tsrc=rss,2025-04-14 17:28:15,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=28, tm_sec=15, tm_wday=0, tm_yday=104, tm_isdst=0)",NIKE (NYSE:NKE) Unveils Vibrant Kool-Aid Sneaker Collaboration With Ja Morant,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'NIKE (NYSE:NKE) Unveils Vibrant Kool-Aid Sneaker Collaboration With Ja Morant'}",NKE,Yahoo Finance,"NIKE (NYSE:NKE) Unveils Vibrant Kool-Aid Sneaker Collaboration With Ja Morant Nike (NYSE:NKE) recently announced an innovative collaboration with Kool-Aid, unveiling the vibrant Nike x Kool-Aid Ja 2 sneaker, which incorporates playful design elements inspired by NBA star Ja Morant's favorite flavors. Despite this launch, Nike's share price dipped 2.2% over the past week, a movement contrasting with the broader market’s 5.8% gain. This slight decline in Nike's price might not align with the broader market trend influenced by external factors, such as overall market...",2025,4,14,0,573,84,77,10
"As uncertainty ripples through retailers - specialty stores could face a major crunch. Sneaker heads have been flocking to StockX for nearly a decade to get their hands on the latest releases. Now the online marketplace is facing risks of a slowdown as consumers tighten their wallets. Greg Schwartz, StockX President & CEO joined ""Bloomberg Open interest"" in the C-Suite to talk retails growth opportunity.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'As uncertainty ripples through retailers - specialty stores could face a major crunch. Sneaker heads have been flocking to StockX for nearly a decade to get their hands on the latest releases. Now the online marketplace is facing risks of a slowdown as consumers tighten their wallets. Greg Schwartz, StockX President & CEO joined ""Bloomberg Open interest"" in the C-Suite to talk retails growth opportunity.'}",7bec693d-3096-377b-b51d-86fa58fc6389,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/reviving-sneaker-resale-market-151934823.html?.tsrc=rss'}]",https://finance.yahoo.com/video/reviving-sneaker-resale-market-151934823.html?.tsrc=rss,2025-04-14 15:19:34,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=19, tm_sec=34, tm_wday=0, tm_yday=104, tm_isdst=0)",Reviving the Sneaker Resale Market,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'Reviving the Sneaker Resale Market'}",NKE,Yahoo Finance,"Reviving the Sneaker Resale Market As uncertainty ripples through retailers - specialty stores could face a major crunch. Sneaker heads have been flocking to StockX for nearly a decade to get their hands on the latest releases. Now the online marketplace is facing risks of a slowdown as consumers tighten their wallets. Greg Schwartz, StockX President & CEO joined ""Bloomberg Open interest"" in the C-Suite to talk retails growth opportunity.",2025,4,14,0,442,70,34,5
"We recently published a list of 10 Best Kid-Friendly Stocks to Buy According to Billionaires. In this article, we are going to take a look at where NIKE Inc. (NYSE:NKE) stands against other best kid-friendly stocks to buy according to billionaires. The market has been undergoing a volatile spell these past few days. Economic data […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Kid-Friendly Stocks to Buy According to Billionaires. In this article, we are going to take a look at where NIKE Inc. (NYSE:NKE) stands against other best kid-friendly stocks to buy according to billionaires. The market has been undergoing a volatile spell these past few days. Economic data […]'}",0300b0cd-ea10-322b-a832-b11429649e7d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/nike-inc-nke-best-kid-134706418.html?.tsrc=rss'}]",https://finance.yahoo.com/news/nike-inc-nke-best-kid-134706418.html?.tsrc=rss,2025-04-14 13:47:06,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=47, tm_sec=6, tm_wday=0, tm_yday=104, tm_isdst=0)",Is NIKE Inc. (NKE) the Best Kid-Friendly Stock to Buy According to Billionaires?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'Is NIKE Inc. (NKE) the Best Kid-Friendly Stock to Buy According to Billionaires?'}",NKE,Yahoo Finance,"Is NIKE Inc. (NKE) the Best Kid-Friendly Stock to Buy According to Billionaires? We recently published a list of 10 Best Kid-Friendly Stocks to Buy According to Billionaires. In this article, we are going to take a look at where NIKE Inc. (NYSE:NKE) stands against other best kid-friendly stocks to buy according to billionaires. The market has been undergoing a volatile spell these past few days. Economic data […]",2025,4,14,0,416,69,80,13
"Apple (NASDAQ: AAPL) and Nike (NYSE: NKE) are down over 20% year to date at the time of this writing, significantly underperforming the S&amp;P 500 and Nasdaq Composite, which are also down significantly.  China is a key market for Apple -- both from a manufacturing and a sales perspective.  After Apple stock surged on April 9 in response to a 90-day pause on reciprocal tariffs to all countries except China, it sank 4% the following day on news that the tariff rate on Chinese goods would be raised to a staggering 145%.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'Apple (NASDAQ: AAPL) and Nike (NYSE: NKE) are down over 20% year to date at the time of this writing, significantly underperforming the S&amp;P 500\xa0and Nasdaq Composite, which are also down significantly.  China is a key market for Apple -- both from a manufacturing and a sales perspective.  After Apple stock surged on April 9 in response to a 90-day pause on reciprocal tariffs to all countries except China, it sank 4% the following day on news that the tariff rate on Chinese goods would be raised to a staggering 145%.'}",b8c4643e-523c-3b9d-a04f-a334c4e9e3ed,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/13/tariff-sensitive-stocks-apple-nike-buy/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=b9ed7ded-64f1-47c8-8f4b-a4a74f945395&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/13/tariff-sensitive-stocks-apple-nike-buy/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=b9ed7ded-64f1-47c8-8f4b-a4a74f945395&.tsrc=rss,2025-04-13 22:12:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=12, tm_sec=0, tm_wday=6, tm_yday=103, tm_isdst=0)",Tariff-Sensitive Stocks Apple and Nike Are Getting Clobbered. Time to Buy?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'Tariff-Sensitive Stocks Apple and Nike Are Getting Clobbered. Time to Buy?'}",NKE,Yahoo Finance,"Tariff-Sensitive Stocks Apple and Nike Are Getting Clobbered. Time to Buy? Apple (NASDAQ: AAPL) and Nike (NYSE: NKE) are down over 20% year to date at the time of this writing, significantly underperforming the S&amp;P 500 and Nasdaq Composite, which are also down significantly.  China is a key market for Apple -- both from a manufacturing and a sales perspective.  After Apple stock surged on April 9 in response to a 90-day pause on reciprocal tariffs to all countries except China, it sank 4% the following day on news that the tariff rate on Chinese goods would be raised to a staggering 145%.",2025,4,13,6,599,103,74,11
"We recently published a list of 10 Best Golf Stocks to Buy According to Analysts. In this article, we are going to take a look at where NIKE, Inc. (NYSE:NKE) stands against other best golf stocks to buy according to analysts. Golf stocks are publicly traded firms that are part of the golf industry. These […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Golf Stocks to Buy According to Analysts. In this article, we are going to take a look at where NIKE, Inc. (NYSE:NKE) stands against other best golf stocks to buy according to analysts. Golf stocks are publicly traded firms that are part of the golf industry. These […]'}",8911cebd-6bcf-3664-9304-166b33e7eb58,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/nike-inc-nke-among-best-212106475.html?.tsrc=rss'}]",https://finance.yahoo.com/news/nike-inc-nke-among-best-212106475.html?.tsrc=rss,2025-04-13 21:21:06,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=13, tm_hour=21, tm_min=21, tm_sec=6, tm_wday=6, tm_yday=103, tm_isdst=0)","Is NIKE, Inc. (NKE) Among the Best Golf Stocks to Buy According to Analysts?","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'Is NIKE, Inc. (NKE) Among the Best Golf Stocks to Buy According to Analysts?'}",NKE,Yahoo Finance,"Is NIKE, Inc. (NKE) Among the Best Golf Stocks to Buy According to Analysts? We recently published a list of 10 Best Golf Stocks to Buy According to Analysts. In this article, we are going to take a look at where NIKE, Inc. (NYSE:NKE) stands against other best golf stocks to buy according to analysts. Golf stocks are publicly traded firms that are part of the golf industry. These […]",2025,4,13,6,386,70,76,14
"Economist and gold advocate Peter Schiff is back with sharp criticism of both Bitcoin and President Donald Trump's latest economic policies. On Monday, Schiff said the newly formed Strategic Bitcoin Reserve has already lost more than 12% of its value since it was created on March 6. He argued that if the government had opted to invest in gold instead, the reserve would be showing a 2% gain. Bitcoin Loss, Gold Gain A month ago on Mar. 6th, Trump established the Strategic Bitcoin Reserve. So far,","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': ""Economist and gold advocate Peter Schiff is back with sharp criticism of both Bitcoin and President Donald Trump's latest economic policies. On Monday, Schiff said the newly formed Strategic Bitcoin Reserve has already lost more than 12% of its value since it was created on March 6. He argued that if the government had opted to invest in gold instead, the reserve would be showing a 2% gain. Bitcoin Loss, Gold Gain A month ago on Mar. 6th, Trump established the Strategic Bitcoin Reserve. So far,""}",4042af33-520b-3908-9726-9af8860e3428,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/peter-schiff-says-trumps-strategic-230055940.html?.tsrc=rss'}]",https://finance.yahoo.com/news/peter-schiff-says-trumps-strategic-230055940.html?.tsrc=rss,2025-04-12 23:00:55,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=12, tm_hour=23, tm_min=0, tm_sec=55, tm_wday=5, tm_yday=102, tm_isdst=0)","Peter Schiff Says Trump's Strategic Bitcoin Reserve Is Already Down 'Over 12%,' Claims If We'd Bought Gold Instead, We'd Be Up 2% Right Now","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': ""Peter Schiff Says Trump's Strategic Bitcoin Reserve Is Already Down 'Over 12%,' Claims If We'd Bought Gold Instead, We'd Be Up 2% Right Now""}",NKE,Yahoo Finance,"Peter Schiff Says Trump's Strategic Bitcoin Reserve Is Already Down 'Over 12%,' Claims If We'd Bought Gold Instead, We'd Be Up 2% Right Now Economist and gold advocate Peter Schiff is back with sharp criticism of both Bitcoin and President Donald Trump's latest economic policies. On Monday, Schiff said the newly formed Strategic Bitcoin Reserve has already lost more than 12% of its value since it was created on March 6. He argued that if the government had opted to invest in gold instead, the reserve would be showing a 2% gain. Bitcoin Loss, Gold Gain A month ago on Mar. 6th, Trump established the Strategic Bitcoin Reserve. So far,",2025,4,12,5,639,110,139,24
"News -- sometimes contradicting itself -- seems to be coming every hour from the United States government, corporations, and foreign countries as they try to figure out how to respond to the Trump tariffs enacted last week.  Nike (NYSE: NKE) and Lululemon Athletica (NASDAQ: LULU) have crashed over the past week, with both stocks down over 50% from highs set back in 2021.  Before the tariff announcement, Nike struggled with a major global slowdown in its operations.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'News -- sometimes contradicting itself -- seems to be coming every hour from the United States government, corporations, and foreign countries as they try to figure out how to respond to the Trump tariffs enacted last week.  Nike (NYSE: NKE) and Lululemon Athletica (NASDAQ: LULU) have crashed over the past week, with both stocks down over 50% from highs set back in 2021.  Before the tariff announcement, Nike struggled with a major global slowdown in its operations.'}",38cc0aa3-9f3d-3d60-bbc0-de138f1460ee,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/11/nike-and-lululemons-tariff-tumble-time-to-buy-or/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=f5b319b4-1864-42a9-b4ba-a1f87052f3d2&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/11/nike-and-lululemons-tariff-tumble-time-to-buy-or/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=f5b319b4-1864-42a9-b4ba-a1f87052f3d2&.tsrc=rss,2025-04-11 11:15:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=11, tm_min=15, tm_sec=0, tm_wday=4, tm_yday=101, tm_isdst=0)",Nike's and Lululemon's Tariff Tumble: Time to Buy or Sell?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': ""Nike's and Lululemon's Tariff Tumble: Time to Buy or Sell?""}",NKE,Yahoo Finance,"Nike's and Lululemon's Tariff Tumble: Time to Buy or Sell? News -- sometimes contradicting itself -- seems to be coming every hour from the United States government, corporations, and foreign countries as they try to figure out how to respond to the Trump tariffs enacted last week.  Nike (NYSE: NKE) and Lululemon Athletica (NASDAQ: LULU) have crashed over the past week, with both stocks down over 50% from highs set back in 2021.  Before the tariff announcement, Nike struggled with a major global slowdown in its operations.",2025,4,11,4,528,87,58,10
"Retailers like Nike (NKE), Skechers (SKX), Tapestry (TPR), and Ralph Lauren (RL) are in focus as analysts raise concerns about not only the impact of tariffs on imports from China, but also the effects of anti-American sentiment on consumer spending. Yahoo Finance Senior Reporter Brooke DiPalma joins Market Domination Overtime to take a closer look. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'Retailers like Nike (NKE), Skechers (SKX), Tapestry (TPR), and Ralph Lauren (RL) are in focus as analysts raise concerns about not only the impact of tariffs on imports from China, but also the effects of anti-American sentiment on consumer spending. Yahoo Finance Senior Reporter Brooke DiPalma joins Market Domination Overtime to take a closer look. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.'}",1dc0bc26-4285-3ada-885c-469858c9e246,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/american-retailers-face-several-challenges-220536849.html?.tsrc=rss'}]",https://finance.yahoo.com/video/american-retailers-face-several-challenges-220536849.html?.tsrc=rss,2025-04-10 22:05:36,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=22, tm_min=5, tm_sec=36, tm_wday=3, tm_yday=100, tm_isdst=0)",American retailers face several challenges from tariffs on China,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'American retailers face several challenges from tariffs on China'}",NKE,Yahoo Finance,"American retailers face several challenges from tariffs on China Retailers like Nike (NKE), Skechers (SKX), Tapestry (TPR), and Ralph Lauren (RL) are in focus as analysts raise concerns about not only the impact of tariffs on imports from China, but also the effects of anti-American sentiment on consumer spending. Yahoo Finance Senior Reporter Brooke DiPalma joins Market Domination Overtime to take a closer look. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.",2025,4,10,3,536,83,64,9
Tariffs are now just one of many problems for retailers.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'Tariffs are now just one of many problems for retailers.'}",19c28d17-d91d-4c5c-b839-f2c5e046ded9,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/nike-skechers-other-us-brands-could-face-anti-american-pushback-in-china-due-to-trump-tariffs-211329192.html?.tsrc=rss'}]",https://finance.yahoo.com/news/nike-skechers-other-us-brands-could-face-anti-american-pushback-in-china-due-to-trump-tariffs-211329192.html?.tsrc=rss,2025-04-10 21:13:29,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=13, tm_sec=29, tm_wday=3, tm_yday=100, tm_isdst=0)","Nike, Skechers, other US brands could face anti-American pushback in China due to Trump tariffs","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=NKE&region=US&lang=en-US', 'value': 'Nike, Skechers, other US brands could face anti-American pushback in China due to Trump tariffs'}",NKE,Yahoo Finance,"Nike, Skechers, other US brands could face anti-American pushback in China due to Trump tariffs Tariffs are now just one of many problems for retailers.",2025,4,10,3,152,25,95,15
