summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Pfizer (PFE) is ending a late-stage trial of its once-daily GLP-1 pill, Danuglipron, after a participant experienced a liver injury. Yahoo Finance Senior Reporter Anjalee Khemlani joins Market Domination Overtime to break down the details, as well as preview what to watch as Johnson & Johnson (JNJ) prepares to report earnings. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Pfizer (PFE) is ending a late-stage trial of its once-daily GLP-1 pill, Danuglipron, after a participant experienced a liver injury. Yahoo Finance Senior Reporter Anjalee Khemlani joins Market Domination Overtime to break down the details, as well as preview what to watch as Johnson & Johnson (JNJ) prepares to report earnings. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime\xa0here.'}",f88d4467-6707-3e27-b24d-83c4852233e3,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/pfizer-hits-setback-obesity-drug-214449466.html?.tsrc=rss'}]",https://finance.yahoo.com/video/pfizer-hits-setback-obesity-drug-214449466.html?.tsrc=rss,2025-04-14 21:44:49,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=44, tm_sec=49, tm_wday=0, tm_yday=104, tm_isdst=0)",Pfizer hits setback in obesity drug race as GLP-1 trial halts,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Pfizer hits setback in obesity drug race as GLP-1 trial halts'}",PFE,Yahoo Finance,"Pfizer hits setback in obesity drug race as GLP-1 trial halts Pfizer (PFE) is ending a late-stage trial of its once-daily GLP-1 pill, Danuglipron, after a participant experienced a liver injury. Yahoo Finance Senior Reporter Anjalee Khemlani joins Market Domination Overtime to break down the details, as well as preview what to watch as Johnson & Johnson (JNJ) prepares to report earnings. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.",2025,4,14,0,510,81,61,11
"Today's Research Daily features new research reports on 16 major stocks, including Bank of America Corporation (BAC), Chevron Corporation (CVX) and Stryker Corporation (SYK), as well as two micro-cap stocks Value Line, Inc. (VALU) and Sypris Solutions, Inc. (SYPR).","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': ""Today's Research Daily features new research reports on 16 major stocks, including Bank of America Corporation (BAC), Chevron Corporation (CVX) and Stryker Corporation (SYK), as well as two micro-cap stocks Value Line, Inc. (VALU) and Sypris Solutions, Inc. (SYPR).""}",37f5738b-07b3-30fa-a06f-536929356258,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/top-analyst-reports-bank-america-211500618.html?.tsrc=rss'}]",https://finance.yahoo.com/news/top-analyst-reports-bank-america-211500618.html?.tsrc=rss,2025-04-14 21:15:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=15, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","Top Analyst Reports for Bank of America, Chevron & Stryker","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Top Analyst Reports for Bank of America, Chevron & Stryker'}",PFE,Yahoo Finance,"Top Analyst Reports for Bank of America, Chevron & Stryker Today's Research Daily features new research reports on 16 major stocks, including Bank of America Corporation (BAC), Chevron Corporation (CVX) and Stryker Corporation (SYK), as well as two micro-cap stocks Value Line, Inc. (VALU) and Sypris Solutions, Inc. (SYPR).",2025,4,14,0,324,49,58,10
"↗️ Goldman Sachs (GS): The Wall Street bank posted better-than-expected results, boosted by a surge in equities trading in the first quarter, which ended just before President Trump's sweeping tariffs.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': ""↗️ Goldman Sachs (GS): The Wall Street bank posted better-than-expected results, boosted by a surge in equities trading in the first quarter, which ended just before President Trump's sweeping tariffs.""}",817c5cd5-5458-3016-8ad9-e99851b0f130,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/817c5cd5-5458-3016-8ad9-e99851b0f130/stocks-to-watch-monday%3A.html?.tsrc=rss'}]",https://finance.yahoo.com/m/817c5cd5-5458-3016-8ad9-e99851b0f130/stocks-to-watch-monday%3A.html?.tsrc=rss,2025-04-14 19:55:11,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=55, tm_sec=11, tm_wday=0, tm_yday=104, tm_isdst=0)","Stocks to Watch Monday: Apple, Palantir, Intel, Pfizer","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Stocks to Watch Monday: Apple, Palantir, Intel, Pfizer'}",PFE,Yahoo Finance,"Stocks to Watch Monday: Apple, Palantir, Intel, Pfizer ↗️ Goldman Sachs (GS): The Wall Street bank posted better-than-expected results, boosted by a surge in equities trading in the first quarter, which ended just before President Trump's sweeping tariffs.",2025,4,14,0,256,38,54,8
"Health care stocks were higher Monday afternoon, with the NYSE Health Care Index rising 0.4% and the","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Health care stocks were higher Monday afternoon, with the NYSE Health Care Index rising 0.4% and the'}",211b74db-7277-3f8d-ac31-7efb9f917df6,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/sector-health-care-stocks-rise-180801475.html?.tsrc=rss'}]",https://finance.yahoo.com/news/sector-health-care-stocks-rise-180801475.html?.tsrc=rss,2025-04-14 18:08:01,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=18, tm_min=8, tm_sec=1, tm_wday=0, tm_yday=104, tm_isdst=0)",Sector Update: Health Care Stocks Rise Monday Afternoon,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Sector Update: Health Care Stocks Rise Monday Afternoon'}",PFE,Yahoo Finance,"Sector Update: Health Care Stocks Rise Monday Afternoon Health care stocks were higher Monday afternoon, with the NYSE Health Care Index rising 0.4% and the",2025,4,14,0,156,25,55,8
"Josh Lipton examines some of the trending stories for investors to watch as part of today's Market Minute. Dell Technologies (DELL) stock pops as investors weigh a temporary tech tariff exemption. Pfizer (PFE) has announced that trials for its weight-loss pill are being halted. M&amp;T Bank's (MTB) first quarter earnings were in line with analyst estimates, though the bank cut its full-year net interest income forecast. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': ""Josh Lipton examines some of the trending stories for investors to watch as part of today's Market Minute. Dell Technologies (DELL) stock pops as investors weigh a temporary tech tariff exemption. Pfizer (PFE) has announced that trials for its weight-loss pill are being halted. M&amp;T Bank's (MTB) first quarter earnings were in line with analyst estimates, though the bank cut its full-year net interest income forecast. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.""}",8578ce15-58b2-32e5-9000-dcccb072c86d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/dell-stock-pops-pfizer-halts-172944323.html?.tsrc=rss'}]",https://finance.yahoo.com/video/dell-stock-pops-pfizer-halts-172944323.html?.tsrc=rss,2025-04-14 17:29:44,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=29, tm_sec=44, tm_wday=0, tm_yday=104, tm_isdst=0)","Dell stock pops, Pfizer halts GLP-1 pill trial, M&T Bank outlook","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Dell stock pops, Pfizer halts GLP-1 pill trial, M&T Bank outlook'}",PFE,Yahoo Finance,"Dell stock pops, Pfizer halts GLP-1 pill trial, M&T Bank outlook Josh Lipton examines some of the trending stories for investors to watch as part of today's Market Minute. Dell Technologies (DELL) stock pops as investors weigh a temporary tech tariff exemption. Pfizer (PFE) has announced that trials for its weight-loss pill are being halted. M&amp;T Bank's (MTB) first quarter earnings were in line with analyst estimates, though the bank cut its full-year net interest income forecast. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.",2025,4,14,0,587,92,64,11
"Pfizer (NYSE:PFE) recently announced the cessation of Danuglipron's development, an event that coincided with a 3% decline in its share price over the past week. This move was primarily due to safety concerns in clinical studies. Despite achieving key pharmacokinetic goals, the discovery of a potential drug-induced liver injury prompted Pfizer to reassess its strategy. This decision adds weight to the company's stock performance, contrasting with broader market trends, where major indexes...","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': ""Pfizer (NYSE:PFE) recently announced the cessation of Danuglipron's development, an event that coincided with a 3% decline in its share price over the past week. This move was primarily due to safety concerns in clinical studies. Despite achieving key pharmacokinetic goals, the discovery of a potential drug-induced liver injury prompted Pfizer to reassess its strategy. This decision adds weight to the company's stock performance, contrasting with broader market trends, where major indexes...""}",123c4bf1-8f53-395e-a69e-8080395b39d9,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/pfizer-nyse-pfe-discontinues-danuglipron-172306284.html?.tsrc=rss'}]",https://finance.yahoo.com/news/pfizer-nyse-pfe-discontinues-danuglipron-172306284.html?.tsrc=rss,2025-04-14 17:23:06,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=23, tm_sec=6, tm_wday=0, tm_yday=104, tm_isdst=0)",Pfizer (NYSE:PFE) Discontinues Danuglipron Development After Safety Review in Study,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Pfizer (NYSE:PFE) Discontinues Danuglipron Development After Safety Review in Study'}",PFE,Yahoo Finance,"Pfizer (NYSE:PFE) Discontinues Danuglipron Development After Safety Review in Study Pfizer (NYSE:PFE) recently announced the cessation of Danuglipron's development, an event that coincided with a 3% decline in its share price over the past week. This move was primarily due to safety concerns in clinical studies. Despite achieving key pharmacokinetic goals, the discovery of a potential drug-induced liver injury prompted Pfizer to reassess its strategy. This decision adds weight to the company's stock performance, contrasting with broader market trends, where major indexes...",2025,4,14,0,580,82,83,10
Pfizer (PFE) said Monday it will no longer develop its investigational pill for weight loss after de,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Pfizer (PFE) said Monday it will no longer develop its investigational pill for weight loss after de'}",ae02fd86-987d-3fc9-9d86-ad7aac6512df,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/pfizer-discontinue-development-experimental-weight-171908293.html?.tsrc=rss'}]",https://finance.yahoo.com/news/pfizer-discontinue-development-experimental-weight-171908293.html?.tsrc=rss,2025-04-14 17:19:08,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=19, tm_sec=8, tm_wday=0, tm_yday=104, tm_isdst=0)",Pfizer to Discontinue Development of Experimental Weight-Loss Pill Danuglipron,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Pfizer to Discontinue Development of Experimental Weight-Loss Pill Danuglipron'}",PFE,Yahoo Finance,Pfizer to Discontinue Development of Experimental Weight-Loss Pill Danuglipron Pfizer (PFE) said Monday it will no longer develop its investigational pill for weight loss after de,2025,4,14,0,179,26,78,9
"We recently published a list of 10 Stocks on Jim Cramer’s Radar. In this article, we are going to take a look at where Pfizer Inc. (NYSE:PFE) stands against other stocks on Jim Cramer’s radar. On Thursday, Mad Money host Jim Cramer cautioned viewers about what may lie ahead once the 90-day pause on new […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'We recently published a list of 10 Stocks on Jim Cramer’s Radar. In this article, we are going to take a look at where Pfizer Inc. (NYSE:PFE) stands against other stocks on Jim Cramer’s radar. On Thursday, Mad Money host Jim Cramer cautioned viewers about what may lie ahead once the 90-day pause on new […]'}",0095350a-0bd9-3e7f-b7e3-0e8e158096ba,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/pfizer-inc-pfe-dead-money-165323179.html?.tsrc=rss'}]",https://finance.yahoo.com/news/pfizer-inc-pfe-dead-money-165323179.html?.tsrc=rss,2025-04-14 16:53:23,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=53, tm_sec=23, tm_wday=0, tm_yday=104, tm_isdst=0)","Pfizer Inc. (PFE): “Dead Money… Close the Casket,” Says Jim Cramer","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Pfizer Inc. (PFE): “Dead Money… Close the Casket,” Says Jim Cramer'}",PFE,Yahoo Finance,"Pfizer Inc. (PFE): “Dead Money… Close the Casket,” Says Jim Cramer We recently published a list of 10 Stocks on Jim Cramer’s Radar. In this article, we are going to take a look at where Pfizer Inc. (NYSE:PFE) stands against other stocks on Jim Cramer’s radar. On Thursday, Mad Money host Jim Cramer cautioned viewers about what may lie ahead once the 90-day pause on new […]",2025,4,14,0,374,67,66,11
"Pfizer still has another obesity pill in development, PF-07976016, which is currently in a Phase IIa trial.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Pfizer still has another obesity pill in development, PF-07976016, which is currently in a Phase IIa trial.'}",69701f32-e1b8-3161-ae66-145527d1615a,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.clinicaltrialsarena.com/news/pfizer-drops-obesity-pill-liver-issue/?.tsrc=rss'}]",https://www.clinicaltrialsarena.com/news/pfizer-drops-obesity-pill-liver-issue/?.tsrc=rss,2025-04-14 16:45:02,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=45, tm_sec=2, tm_wday=0, tm_yday=104, tm_isdst=0)",Pfizer drops obesity pill development after liver injury report,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Pfizer drops obesity pill development after liver injury report'}",PFE,Yahoo Finance,"Pfizer drops obesity pill development after liver injury report Pfizer still has another obesity pill in development, PF-07976016, which is currently in a Phase IIa trial.",2025,4,14,0,171,26,63,9
All three major US stock indexes were up in late-morning trading Monday following the announcement o,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'All three major US stock indexes were up in late-morning trading Monday following the announcement o'}",374c49bd-f188-37af-b938-44e142e7118d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/top-midday-stories-stocks-rally-154141521.html?.tsrc=rss'}]",https://finance.yahoo.com/news/top-midday-stories-stocks-rally-154141521.html?.tsrc=rss,2025-04-14 15:41:41,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=41, tm_sec=41, tm_wday=0, tm_yday=104, tm_isdst=0)",Top Midday Stories: Stocks Rally on Tariff Exemption News; Pfizer Discontinues Development of Weight-Loss Drug,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=PFE&region=US&lang=en-US', 'value': 'Top Midday Stories: Stocks Rally on Tariff Exemption News; Pfizer Discontinues Development of Weight-Loss Drug'}",PFE,Yahoo Finance,Top Midday Stories: Stocks Rally on Tariff Exemption News; Pfizer Discontinues Development of Weight-Loss Drug All three major US stock indexes were up in late-morning trading Monday following the announcement o,2025,4,14,0,211,31,110,15
