summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"One attractive name that is down about 35% off its highs as of this writing is Dutch Bros (NYSE: BROS).  Since only a small amount of green coffee is grown in Hawaii, Puerto Rico, and to a tiny extent California, the U.S. must import nearly all its coffee.  Its drinks are already cheaper than those at Starbucks, making it a good alternative.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'One attractive name that is down about 35% off its highs as of this writing is Dutch Bros (NYSE: BROS).  Since only a small amount of green coffee is grown in Hawaii, Puerto Rico, and to a tiny extent California, the U.S. must import nearly all its coffee.  Its drinks are already cheaper than those at Starbucks, making it a good alternative.'}",59e671d1-b888-35ac-b98d-6bf7bf3212bf,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/14/1-growth-stock-down-35-to-buy-right-now/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=8ff37e4e-15e6-4c8e-8c45-c2ff4fb161e1&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/14/1-growth-stock-down-35-to-buy-right-now/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=8ff37e4e-15e6-4c8e-8c45-c2ff4fb161e1&.tsrc=rss,2025-04-15 00:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=105, tm_isdst=0)",1 Growth Stock Down 35% to Buy Right Now,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': '1 Growth Stock Down 35% to Buy Right Now'}",SBUX,Yahoo Finance,"1 Growth Stock Down 35% to Buy Right Now One attractive name that is down about 35% off its highs as of this writing is Dutch Bros (NYSE: BROS).  Since only a small amount of green coffee is grown in Hawaii, Puerto Rico, and to a tiny extent California, the U.S. must import nearly all its coffee.  Its drinks are already cheaper than those at Starbucks, making it a good alternative.",2025,4,15,1,384,71,40,9
"When CEO Brian Niccol’s tenure began last September, he vowed to make steps to get “back to Starbucks” and return stores to their cozy roots.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'When CEO Brian Niccol’s tenure began last September, he vowed to make steps to get “back to Starbucks” and return stores to their cozy roots.'}",bc321e15-6af3-32e8-baca-008846207065,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/starbucks-now-require-workers-ditch-175513275.html?.tsrc=rss'}]",https://finance.yahoo.com/news/starbucks-now-require-workers-ditch-175513275.html?.tsrc=rss,2025-04-14 17:55:13,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=17, tm_min=55, tm_sec=13, tm_wday=0, tm_yday=104, tm_isdst=0)",Starbucks will now require workers to ditch their colorful shirts in favor of black tops and neutral pants,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'Starbucks will now require workers to ditch their colorful shirts in favor of black tops and neutral pants'}",SBUX,Yahoo Finance,"Starbucks will now require workers to ditch their colorful shirts in favor of black tops and neutral pants When CEO Brian Niccol’s tenure began last September, he vowed to make steps to get “back to Starbucks” and return stores to their cozy roots.",2025,4,14,0,248,43,106,18
"If you're looking for a multi-bagger, there's a few things to keep an eye out for. Ideally, a business will show two...","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': ""If you're looking for a multi-bagger, there's a few things to keep an eye out for. Ideally, a business will show two...""}",48831609-1ba3-3244-b9d1-b7fa7e3e77cc,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/starbucks-nasdaq-sbux-returns-hit-120011927.html?.tsrc=rss'}]",https://finance.yahoo.com/news/starbucks-nasdaq-sbux-returns-hit-120011927.html?.tsrc=rss,2025-04-14 12:00:11,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=0, tm_sec=11, tm_wday=0, tm_yday=104, tm_isdst=0)",Starbucks' (NASDAQ:SBUX) Returns Have Hit A Wall,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': ""Starbucks' (NASDAQ:SBUX) Returns Have Hit A Wall""}",SBUX,Yahoo Finance,"Starbucks' (NASDAQ:SBUX) Returns Have Hit A Wall If you're looking for a multi-bagger, there's a few things to keep an eye out for. Ideally, a business will show two...",2025,4,14,0,168,29,48,7
"Zacks.com users have recently been watching Starbucks (SBUX) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': ""Zacks.com users have recently been watching Starbucks (SBUX) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.""}",8eb05ce8-1188-3e26-9655-3d1788c75828,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/investors-heavily-search-starbucks-corporation-130014390.html?.tsrc=rss'}]",https://finance.yahoo.com/news/investors-heavily-search-starbucks-corporation-130014390.html?.tsrc=rss,2025-04-10 13:00:14,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=13, tm_min=0, tm_sec=14, tm_wday=3, tm_yday=100, tm_isdst=0)",Investors Heavily Search Starbucks Corporation (SBUX): Here is What You Need to Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'Investors Heavily Search Starbucks Corporation (SBUX): Here is What You Need to Know'}",SBUX,Yahoo Finance,"Investors Heavily Search Starbucks Corporation (SBUX): Here is What You Need to Know Zacks.com users have recently been watching Starbucks (SBUX) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",2025,4,10,3,238,37,84,13
Starbucks Corporation ( NASDAQ:SBUX ) saw a decent share price growth of 11% on the NASDAQGS over the last few months...,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'Starbucks Corporation ( NASDAQ:SBUX ) saw a decent share price growth of 11% on the NASDAQGS over the last few months...'}",59651603-1065-3015-b3d8-e32cef05a4c2,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/starbucks-corporation-nasdaq-sbux-potentially-110014928.html?.tsrc=rss'}]",https://finance.yahoo.com/news/starbucks-corporation-nasdaq-sbux-potentially-110014928.html?.tsrc=rss,2025-04-10 11:00:14,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=11, tm_min=0, tm_sec=14, tm_wday=3, tm_yday=100, tm_isdst=0)",Is Starbucks Corporation (NASDAQ:SBUX) Potentially Undervalued?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'Is Starbucks Corporation (NASDAQ:SBUX) Potentially Undervalued?'}",SBUX,Yahoo Finance,Is Starbucks Corporation (NASDAQ:SBUX) Potentially Undervalued? Starbucks Corporation ( NASDAQ:SBUX ) saw a decent share price growth of 11% on the NASDAQGS over the last few months...,2025,4,10,3,184,27,63,6
"In other beverage news, Diageo is spicing up its Captain Morgan canned malt cocktails with four ‘sweet heat’ flavors.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'In other beverage news, Diageo is spicing up its Captain Morgan canned malt cocktails with four ‘sweet heat’ flavors.'}",c979bc63-c2f0-3fde-8a93-2f30cc96a351,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fooddive.com/news/weekly-sip-monster-beverage-stock-overvalued-starbucks-iced-energy-drinks-captain-morgan-sliced-heat/744992/?.tsrc=rss'}]",https://www.fooddive.com/news/weekly-sip-monster-beverage-stock-overvalued-starbucks-iced-energy-drinks-captain-morgan-sliced-heat/744992/?.tsrc=rss,2025-04-10 10:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=10, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=100, tm_isdst=0)",The Weekly Sip: Monster slams claims that stock is overvalued | Starbucks debuts new energy drink lineup,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'The Weekly Sip: Monster slams claims that stock is overvalued | Starbucks debuts new energy drink lineup'}",SBUX,Yahoo Finance,"The Weekly Sip: Monster slams claims that stock is overvalued | Starbucks debuts new energy drink lineup In other beverage news, Diageo is spicing up its Captain Morgan canned malt cocktails with four ‘sweet heat’ flavors.",2025,4,10,3,222,36,104,17
"Stock market sell-offs like the one we're currently experiencing are challenging periods for investors.  For me, sell-offs are an opportunity to buy high-quality dividend stocks at lower prices, which enables me to lock in higher dividend yields.  Here's why I think they're great dividend stocks to buy for durable passive income.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': ""Stock market sell-offs like the one we're currently experiencing are challenging periods for investors.  For me, sell-offs are an opportunity to buy high-quality dividend stocks at lower prices, which enables me to lock in higher dividend yields.  Here's why I think they're great dividend stocks to buy for durable passive income.""}",8ce8ad60-80d3-3d37-ba8f-d79551fed2e3,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/10/stock-market-sell-off-shopping-spree-3-top-dividen/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=56b6f2a0-f186-474f-8498-ada2cc8bb3aa&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/10/stock-market-sell-off-shopping-spree-3-top-dividen/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=56b6f2a0-f186-474f-8498-ada2cc8bb3aa&.tsrc=rss,2025-04-10 09:17:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=9, tm_min=17, tm_sec=0, tm_wday=3, tm_yday=100, tm_isdst=0)",Stock Market Sell-Off Shopping Spree: 3 Top Dividend Stocks I Just Bought to Boost My Passive Income,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'Stock Market Sell-Off Shopping Spree: 3 Top Dividend Stocks I Just Bought to Boost My Passive Income'}",SBUX,Yahoo Finance,"Stock Market Sell-Off Shopping Spree: 3 Top Dividend Stocks I Just Bought to Boost My Passive Income Stock market sell-offs like the one we're currently experiencing are challenging periods for investors.  For me, sell-offs are an opportunity to buy high-quality dividend stocks at lower prices, which enables me to lock in higher dividend yields.  Here's why I think they're great dividend stocks to buy for durable passive income.",2025,4,10,3,432,68,100,17
"Yahoo Finance Senior Reporter Alexandra Canal joins Brad Smith on Wealth to look at some of Wednesday's top trending tickers. Starbucks (SBUX) was upgraded to Hold from Underperform by Jefferies. Cal-Maine Foods (CALM) is in focus as the company cooperates with the Department of Justice (DOJ) in their investigation as to the cause of soaring egg prices. To watch more expert insights and analysis on the latest market action, check out more Wealth here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': ""Yahoo Finance Senior Reporter Alexandra Canal joins Brad Smith on Wealth to look at some of Wednesday's top trending tickers. Starbucks (SBUX) was upgraded to Hold from Underperform by Jefferies. Cal-Maine Foods (CALM) is in focus as the company cooperates with the Department of Justice (DOJ) in their investigation as to the cause of soaring egg prices. To watch more expert insights and analysis on the latest market action, check out more Wealth here.""}",34e03913-829e-3255-9db2-7db4ecc72bcc,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/starbucks-cal-maine-foods-trending-152416394.html?.tsrc=rss'}]",https://finance.yahoo.com/video/starbucks-cal-maine-foods-trending-152416394.html?.tsrc=rss,2025-04-09 15:24:16,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=15, tm_min=24, tm_sec=16, tm_wday=2, tm_yday=99, tm_isdst=0)","Starbucks, Cal-Maine Foods: Trending Tickers","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'Starbucks, Cal-Maine Foods: Trending Tickers'}",SBUX,Yahoo Finance,"Starbucks, Cal-Maine Foods: Trending Tickers Yahoo Finance Senior Reporter Alexandra Canal joins Brad Smith on Wealth to look at some of Wednesday's top trending tickers. Starbucks (SBUX) was upgraded to Hold from Underperform by Jefferies. Cal-Maine Foods (CALM) is in focus as the company cooperates with the Department of Justice (DOJ) in their investigation as to the cause of soaring egg prices. To watch more expert insights and analysis on the latest market action, check out more Wealth here.",2025,4,9,2,500,79,44,5
Investing.com -- Starbucks (NASDAQ:SBUX) saw its stock upgraded at Jefferies to Hold from Underperform after seeing a significant pullback of nearly 30% since broader market highs in February.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'Investing.com -- Starbucks (NASDAQ:SBUX) saw its stock upgraded at Jefferies to Hold from Underperform after seeing a significant pullback of nearly 30% since broader market highs in February.'}",9079d638-400f-3e74-b9e0-2f7d925fb2ed,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/starbucks-lifted-hold-jefferies-stock-135319219.html?.tsrc=rss'}]",https://finance.yahoo.com/news/starbucks-lifted-hold-jefferies-stock-135319219.html?.tsrc=rss,2025-04-09 13:53:19,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=13, tm_min=53, tm_sec=19, tm_wday=2, tm_yday=99, tm_isdst=0)",Starbucks lifted to Hold at Jefferies as stock pullback implies ’limited downside’,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': 'Starbucks lifted to Hold at Jefferies as stock pullback implies ’limited downside’'}",SBUX,Yahoo Finance,Starbucks lifted to Hold at Jefferies as stock pullback implies ’limited downside’ Investing.com -- Starbucks (NASDAQ:SBUX) saw its stock upgraded at Jefferies to Hold from Underperform after seeing a significant pullback of nearly 30% since broader market highs in February.,2025,4,9,2,275,40,82,12
"Apple, Starbucks upgraded: Wall Street's top analyst calls","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': ""Apple, Starbucks upgraded: Wall Street's top analyst calls""}",b0faeb2b-2bb4-338f-b2d6-3221f63a7620,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/apple-starbucks-upgraded-wall-streets-134651474.html?.tsrc=rss'}]",https://finance.yahoo.com/news/apple-starbucks-upgraded-wall-streets-134651474.html?.tsrc=rss,2025-04-09 13:46:51,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=13, tm_min=46, tm_sec=51, tm_wday=2, tm_yday=99, tm_isdst=0)","Apple, Starbucks upgraded: Wall Street's top analyst calls","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SBUX&region=US&lang=en-US', 'value': ""Apple, Starbucks upgraded: Wall Street's top analyst calls""}",SBUX,Yahoo Finance,"Apple, Starbucks upgraded: Wall Street's top analyst calls Apple, Starbucks upgraded: Wall Street's top analyst calls",2025,4,9,2,117,16,58,8
