summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"Schlumberger (SLB) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Schlumberger (SLB) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.'}",bc91d171-04b7-3c41-b7ee-a9f25973cd3c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/schlumberger-limited-slb-trending-stock-130011043.html?.tsrc=rss'}]",https://finance.yahoo.com/news/schlumberger-limited-slb-trending-stock-130011043.html?.tsrc=rss,2025-04-10 13:00:11,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=13, tm_min=0, tm_sec=11, tm_wday=3, tm_yday=100, tm_isdst=0)",Schlumberger Limited (SLB) Is a Trending Stock: Facts to Know Before Betting on It,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Schlumberger Limited (SLB) Is a Trending Stock: Facts to Know Before Betting on It'}",SLB,Yahoo Finance,"Schlumberger Limited (SLB) Is a Trending Stock: Facts to Know Before Betting on It Schlumberger (SLB) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",2025,4,10,3,225,39,82,14
"We recently published a list of 10 Best Geothermal Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where Schlumberger Limited (NYSE:SLB) stands against other best geothermal stocks to buy according to hedge funds. Geothermal stocks are companies that use heat from the earth to generate […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Geothermal Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where Schlumberger Limited (NYSE:SLB) stands against other best geothermal stocks to buy according to hedge funds. Geothermal stocks are companies that use heat from the earth to generate […]'}",ecb87f84-ffe6-30d2-a1c2-8de89d7c0726,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/schlumberger-limited-slb-one-best-120028005.html?.tsrc=rss'}]",https://finance.yahoo.com/news/schlumberger-limited-slb-one-best-120028005.html?.tsrc=rss,2025-04-10 12:00:28,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=10, tm_hour=12, tm_min=0, tm_sec=28, tm_wday=3, tm_yday=100, tm_isdst=0)",Schlumberger Limited (SLB): One of the Best Geothermal Stocks to Buy According to Hedge Funds,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Schlumberger Limited (SLB): One of the Best Geothermal Stocks to Buy According to Hedge Funds'}",SLB,Yahoo Finance,"Schlumberger Limited (SLB): One of the Best Geothermal Stocks to Buy According to Hedge Funds We recently published a list of 10 Best Geothermal Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where Schlumberger Limited (NYSE:SLB) stands against other best geothermal stocks to buy according to hedge funds. Geothermal stocks are companies that use heat from the earth to generate […]",2025,4,10,3,424,71,93,15
Schlumberger (SLB) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Schlumberger (SLB) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.'}",0ae4a1fa-ca07-3aab-be0e-326361ca9560,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/schlumberger-slb-beat-estimates-again-161011819.html?.tsrc=rss'}]",https://finance.yahoo.com/news/schlumberger-slb-beat-estimates-again-161011819.html?.tsrc=rss,2025-04-09 16:10:11,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=9, tm_hour=16, tm_min=10, tm_sec=11, tm_wday=2, tm_yday=99, tm_isdst=0)",Will Schlumberger (SLB) Beat Estimates Again in Its Next Earnings Report?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Will Schlumberger (SLB) Beat Estimates Again in Its Next Earnings Report?'}",SLB,Yahoo Finance,Will Schlumberger (SLB) Beat Estimates Again in Its Next Earnings Report? Schlumberger (SLB) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,2025,4,9,2,257,39,73,11
"Schlumberger (SLB) reachead $42.19 at the closing of the latest trading day, reflecting a -0.02% change compared to its last close.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Schlumberger (SLB) reachead $42.19 at the closing of the latest trading day, reflecting a -0.02% change compared to its last close.'}",ad580758-7c2d-312d-b8de-43fa6133d56f,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/schlumberger-slb-stock-sinks-market-220017867.html?.tsrc=rss'}]",https://finance.yahoo.com/news/schlumberger-slb-stock-sinks-market-220017867.html?.tsrc=rss,2025-04-02 22:00:17,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=2, tm_hour=22, tm_min=0, tm_sec=17, tm_wday=2, tm_yday=92, tm_isdst=0)",Schlumberger (SLB) Stock Sinks As Market Gains: Here's Why,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': ""Schlumberger (SLB) Stock Sinks As Market Gains: Here's Why""}",SLB,Yahoo Finance,"Schlumberger (SLB) Stock Sinks As Market Gains: Here's Why Schlumberger (SLB) reachead $42.19 at the closing of the latest trading day, reflecting a -0.02% change compared to its last close.",2025,4,2,2,190,30,58,9
"HOUSTON, March 31, 2025--Global energy technology company SLB (NYSE: SLB) has been awarded a major drilling contract by Australian independent Woodside Energy (NYSE: WDS) for its ultra-deepwater Trion development project, offshore Mexico.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'HOUSTON, March 31, 2025--Global energy technology company SLB (NYSE: SLB) has been awarded a major drilling contract by Australian independent Woodside Energy (NYSE: WDS) for its ultra-deepwater Trion development project, offshore Mexico.'}",642036c4-5d9d-371c-8330-287fcfcc9793,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/slb-awarded-major-drilling-contract-122600732.html?.tsrc=rss'}]",https://finance.yahoo.com/news/slb-awarded-major-drilling-contract-122600732.html?.tsrc=rss,2025-03-31 12:26:00,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=31, tm_hour=12, tm_min=26, tm_sec=0, tm_wday=0, tm_yday=90, tm_isdst=0)","SLB awarded major drilling contract by Woodside Energy for ultra-deepwater Trion development, offshore Mexico","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'SLB awarded major drilling contract by Woodside Energy for ultra-deepwater Trion development, offshore Mexico'}",SLB,Yahoo Finance,"SLB awarded major drilling contract by Woodside Energy for ultra-deepwater Trion development, offshore Mexico HOUSTON, March 31, 2025--Global energy technology company SLB (NYSE: SLB) has been awarded a major drilling contract by Australian independent Woodside Energy (NYSE: WDS) for its ultra-deepwater Trion development project, offshore Mexico.",2025,3,31,0,348,46,109,14
"HOUSTON, March 28, 2025--SLB (NYSE: SLB) will hold a conference call on April 25, 2025 to discuss the results for the first quarter ending March 31, 2025.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'HOUSTON, March 28, 2025--SLB (NYSE: SLB) will hold a conference call on April 25, 2025 to discuss the results for the first quarter ending March 31, 2025.'}",c038d43c-52be-3f64-94e8-e8e54dca1eba,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/slb-announces-first-quarter-2025-170100654.html?.tsrc=rss'}]",https://finance.yahoo.com/news/slb-announces-first-quarter-2025-170100654.html?.tsrc=rss,2025-03-28 17:01:00,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=28, tm_hour=17, tm_min=1, tm_sec=0, tm_wday=4, tm_yday=87, tm_isdst=0)",SLB Announces First-Quarter 2025 Results Conference Call,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'SLB Announces First-Quarter 2025 Results Conference Call'}",SLB,Yahoo Finance,"SLB Announces First-Quarter 2025 Results Conference Call HOUSTON, March 28, 2025--SLB (NYSE: SLB) will hold a conference call on April 25, 2025 to discuss the results for the first quarter ending March 31, 2025.",2025,3,28,4,211,34,56,7
"Zacks.com users have recently been watching Schlumberger (SLB) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': ""Zacks.com users have recently been watching Schlumberger (SLB) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.""}",524f5435-8b5b-3c16-8770-84af2b29f716,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/investors-heavily-search-schlumberger-limited-130009988.html?.tsrc=rss'}]",https://finance.yahoo.com/news/investors-heavily-search-schlumberger-limited-130009988.html?.tsrc=rss,2025-03-27 13:00:09,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=27, tm_hour=13, tm_min=0, tm_sec=9, tm_wday=3, tm_yday=86, tm_isdst=0)",Investors Heavily Search Schlumberger Limited (SLB): Here is What You Need to Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Investors Heavily Search Schlumberger Limited (SLB): Here is What You Need to Know'}",SLB,Yahoo Finance,"Investors Heavily Search Schlumberger Limited (SLB): Here is What You Need to Know Zacks.com users have recently been watching Schlumberger (SLB) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",2025,3,27,3,238,37,82,13
"Schlumberger (SLB) and ChampionX's (CHX) $7.8 billion planned merger could ""substantially"" reduce co","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Schlumberger (SLB) and ChampionX\'s (CHX) $7.8 billion planned merger could ""substantially"" reduce co'}",78853875-8ccd-30d8-965b-7b5bbc490d74,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/schlumberger-championx-7-8-billion-125042423.html?.tsrc=rss'}]",https://finance.yahoo.com/news/schlumberger-championx-7-8-billion-125042423.html?.tsrc=rss,2025-03-27 12:50:42,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=27, tm_hour=12, tm_min=50, tm_sec=42, tm_wday=3, tm_yday=86, tm_isdst=0)","Schlumberger, ChampionX $7.8 Billion Planned Merger May 'Substantially' Reduce Competition in UK Energy Market","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': ""Schlumberger, ChampionX $7.8 Billion Planned Merger May 'Substantially' Reduce Competition in UK Energy Market""}",SLB,Yahoo Finance,"Schlumberger, ChampionX $7.8 Billion Planned Merger May 'Substantially' Reduce Competition in UK Energy Market Schlumberger (SLB) and ChampionX's (CHX) $7.8 billion planned merger could ""substantially"" reduce co",2025,3,27,3,211,27,110,14
"We recently published a list of 14 Best Affordable Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where Schlumberger Limited (NYSE:SLB) stands against other best affordable stocks to invest in. The broader market has taken a significant hit, dropping 10% from its peak and wiping […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'We recently published a list of 14 Best Affordable Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where Schlumberger Limited (NYSE:SLB) stands against other best affordable stocks to invest in. The broader market has taken a significant hit, dropping 10% from its peak and wiping […]'}",b41944bf-507f-3ef3-b5b2-a96a0bd14dcb,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/schlumberger-limited-slb-among-best-135345436.html?.tsrc=rss'}]",https://finance.yahoo.com/news/schlumberger-limited-slb-among-best-135345436.html?.tsrc=rss,2025-03-25 13:53:45,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=25, tm_hour=13, tm_min=53, tm_sec=45, tm_wday=1, tm_yday=84, tm_isdst=0)",Is Schlumberger Limited (SLB) Among the Best Affordable Stocks to Buy According to Hedge Funds?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Is Schlumberger Limited (SLB) Among the Best Affordable Stocks to Buy According to Hedge Funds?'}",SLB,Yahoo Finance,"Is Schlumberger Limited (SLB) Among the Best Affordable Stocks to Buy According to Hedge Funds? We recently published a list of 14 Best Affordable Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where Schlumberger Limited (NYSE:SLB) stands against other best affordable stocks to invest in. The broader market has taken a significant hit, dropping 10% from its peak and wiping […]",2025,3,25,1,420,71,95,15
"The latest trading day saw Schlumberger (SLB) settling at $41.70, representing a +1.73% change from its previous close.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'The latest trading day saw Schlumberger (SLB) settling at $41.70, representing a +1.73% change from its previous close.'}",92400d73-53fe-35cb-b85d-3bfdeeca2429,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/schlumberger-slb-gains-lags-market-215017216.html?.tsrc=rss'}]",https://finance.yahoo.com/news/schlumberger-slb-gains-lags-market-215017216.html?.tsrc=rss,2025-03-24 21:50:17,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=24, tm_hour=21, tm_min=50, tm_sec=17, tm_wday=0, tm_yday=83, tm_isdst=0)",Schlumberger (SLB) Gains But Lags Market: What You Should Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=SLB&region=US&lang=en-US', 'value': 'Schlumberger (SLB) Gains But Lags Market: What You Should Know'}",SLB,Yahoo Finance,"Schlumberger (SLB) Gains But Lags Market: What You Should Know The latest trading day saw Schlumberger (SLB) settling at $41.70, representing a +1.73% change from its previous close.",2025,3,24,0,182,28,62,10
