summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"We recently published a list of Jim Cramer Hints at a Bigger Agenda Behind Tariffs and Breaks Down These 7 Stocks. In this article, we are going to take a look at where Wells Fargo & Company (NYSE:WFC) stands against other stocks that Jim Cramer discusses. In his latest appearance on CNBC’s Squawk on the Street, […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'We recently published a list of Jim Cramer Hints at a Bigger Agenda Behind Tariffs and Breaks Down These 7 Stocks. In this article, we are going to take a look at where Wells Fargo & Company (NYSE:WFC) stands against other stocks that Jim Cramer discusses. In his latest appearance on CNBC’s Squawk on the Street, […]'}",a9ea2bc1-7613-3c30-88d6-012fda72dbac,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/jim-cramer-says-wells-fargo-193707650.html?.tsrc=rss'}]",https://finance.yahoo.com/news/jim-cramer-says-wells-fargo-193707650.html?.tsrc=rss,2025-04-14 19:37:07,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=37, tm_sec=7, tm_wday=0, tm_yday=104, tm_isdst=0)",Jim Cramer Says Wells Fargo (WFC) CEO “Did a Great Job – That Stock Should Be Higher”,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Jim Cramer Says Wells Fargo (WFC) CEO “Did a Great Job – That Stock Should Be Higher”'}",WFC,Yahoo Finance,"Jim Cramer Says Wells Fargo (WFC) CEO “Did a Great Job – That Stock Should Be Higher” We recently published a list of Jim Cramer Hints at a Bigger Agenda Behind Tariffs and Breaks Down These 7 Stocks. In this article, we are going to take a look at where Wells Fargo & Company (NYSE:WFC) stands against other stocks that Jim Cramer discusses. In his latest appearance on CNBC’s Squawk on the Street, […]",2025,4,14,0,403,74,85,17
"Wells Fargo and JPMorgan Chase last week both said they didn’t see indicators that companies were scrambling to do big draw-downs on credit lines to raise cash.  On Monday, Buffalo-based M&amp;T Bank reported the utilization rate among its commercial customers was actually down in the first quarter.  “Really nothing hit our screens that showed any big draws,” said M&amp;T finance chief Daryl Bible.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Wells Fargo and JPMorgan Chase last week both said they didn’t see indicators that companies were scrambling to do big draw-downs on credit lines to raise cash.  On Monday, Buffalo-based M&amp;T Bank reported the utilization rate among its commercial customers was actually down in the first quarter.  “Really nothing hit our screens that showed any big draws,” said M&amp;T finance chief Daryl Bible.'}",6fbf1cc7-7a54-3ccb-9784-ef9fc62aec83,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/6fbf1cc7-7a54-3ccb-9784-ef9fc62aec83/companies-are-%E2%80%98on-pause-right.html?.tsrc=rss'}]",https://finance.yahoo.com/m/6fbf1cc7-7a54-3ccb-9784-ef9fc62aec83/companies-are-%E2%80%98on-pause-right.html?.tsrc=rss,2025-04-14 15:26:12,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=15, tm_min=26, tm_sec=12, tm_wday=0, tm_yday=104, tm_isdst=0)",Companies Are ‘On Pause Right Now’: Heard on the Street,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Companies Are ‘On Pause Right Now’: Heard on the Street'}",WFC,Yahoo Finance,"Companies Are ‘On Pause Right Now’: Heard on the Street Wells Fargo and JPMorgan Chase last week both said they didn’t see indicators that companies were scrambling to do big draw-downs on credit lines to raise cash.  On Monday, Buffalo-based M&amp;T Bank reported the utilization rate among its commercial customers was actually down in the first quarter.  “Really nothing hit our screens that showed any big draws,” said M&amp;T finance chief Daryl Bible.",2025,4,14,0,457,73,55,10
"The bank's total revenue fell to $20.15bn in Q1 2025, down 3.39% from $20.86bn in Q1 2024.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': ""The bank's total revenue fell to $20.15bn in Q1 2025, down 3.39% from $20.86bn in Q1 2024.""}",39f7f9e1-fc5d-3a34-a666-a853c54f9e16,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.retailbankerinternational.com/news/wells-fargo-increase-net-income/?.tsrc=rss'}]",https://www.retailbankerinternational.com/news/wells-fargo-increase-net-income/?.tsrc=rss,2025-04-14 14:50:45,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=14, tm_min=50, tm_sec=45, tm_wday=0, tm_yday=104, tm_isdst=0)",Wells Fargo reports 5.93% increase in Q1 2025 net income,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Wells Fargo reports 5.93% increase in Q1 2025 net income'}",WFC,Yahoo Finance,"Wells Fargo reports 5.93% increase in Q1 2025 net income The bank's total revenue fell to $20.15bn in Q1 2025, down 3.39% from $20.86bn in Q1 2024.",2025,4,14,0,147,27,56,10
"We recently published a list of the 11 Best Dividend Paying Stocks According to Hedge Funds. In this article, we are going to take a look at where Wells Fargo & Company (NYSE:WFC) stands against other best dividend-paying stocks. Dividend-paying stocks have consistently attracted investor interest due to their long-term value. CNBC highlights this by […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'We recently published a list of the 11 Best Dividend Paying Stocks According to Hedge Funds. In this article, we are going to take a look at where Wells Fargo & Company (NYSE:WFC) stands against other best dividend-paying stocks. Dividend-paying stocks have consistently attracted investor interest due to their long-term value. CNBC highlights this by […]'}",eb5465ff-6e7c-3f2a-b25c-e59ccd006af0,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/wells-fargo-company-wfc-best-135424511.html?.tsrc=rss'}]",https://finance.yahoo.com/news/wells-fargo-company-wfc-best-135424511.html?.tsrc=rss,2025-04-14 13:54:24,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=54, tm_sec=24, tm_wday=0, tm_yday=104, tm_isdst=0)",Is Wells Fargo & Company (WFC) the Best Dividend Paying Stock According to Hedge Funds?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Is Wells Fargo & Company (WFC) the Best Dividend Paying Stock According to Hedge Funds?'}",WFC,Yahoo Finance,"Is Wells Fargo & Company (WFC) the Best Dividend Paying Stock According to Hedge Funds? We recently published a list of the 11 Best Dividend Paying Stocks According to Hedge Funds. In this article, we are going to take a look at where Wells Fargo & Company (NYSE:WFC) stands against other best dividend-paying stocks. Dividend-paying stocks have consistently attracted investor interest due to their long-term value. CNBC highlights this by […]",2025,4,14,0,444,71,87,15
"Companies In The Article Are:JPM,MS,WFC,BK","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Companies In The Article Are:JPM,MS,WFC,BK'}",6991997b-b7a1-305e-b100-b78ead90735c,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/company-news-apr-14-2025-130000519.html?.tsrc=rss'}]",https://finance.yahoo.com/news/company-news-apr-14-2025-130000519.html?.tsrc=rss,2025-04-14 13:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","Company News for Apr 14, 2025","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Company News for Apr 14, 2025'}",WFC,Yahoo Finance,"Company News for Apr 14, 2025 Companies In The Article Are:JPM,MS,WFC,BK",2025,4,14,0,72,11,29,6
Adjusted EPS of $1.33 topped analyst estimates of $1.24.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Adjusted EPS of $1.33 topped analyst estimates of $1.24.'}",f6d93bc3-a0c5-3b19-a274-ef517d37c078,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/wells-fargo-tops-profit-forecasts-121840611.html?.tsrc=rss'}]",https://finance.yahoo.com/news/wells-fargo-tops-profit-forecasts-121840611.html?.tsrc=rss,2025-04-14 12:18:40,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=18, tm_sec=40, tm_wday=0, tm_yday=104, tm_isdst=0)",Wells Fargo Tops Profit Forecasts but Revenue Slips--Is the Lending Boom Over?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Wells Fargo Tops Profit Forecasts but Revenue Slips--Is the Lending Boom Over?'}",WFC,Yahoo Finance,Wells Fargo Tops Profit Forecasts but Revenue Slips--Is the Lending Boom Over? Adjusted EPS of $1.33 topped analyst estimates of $1.24.,2025,4,14,0,135,21,78,12
"SAN FRANCISCO, April 14, 2025--Driven by continuous growth in the U.S. tech sector, including an increase in IT spending, AI investments, and a renewed focus on innovation,1 Wells Fargo Technology Banking expanded its team of bankers by 20% over the past year, with additional hires expected in 2025. This represents the largest investment in talent Wells Fargo has made in the tech banking group since the team formed 25 years ago.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'SAN FRANCISCO, April 14, 2025--Driven by continuous growth in the U.S. tech sector, including an increase in IT spending, AI investments, and a renewed focus on innovation,1 Wells Fargo Technology Banking expanded its team of bankers by 20% over the past year, with additional hires expected in 2025. This represents the largest investment in talent Wells Fargo has made in the tech banking group since the team formed 25 years ago.'}",07659b9a-2148-3986-bf02-2091b2b5fa6b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/wells-fargo-technology-banking-grows-120000188.html?.tsrc=rss'}]",https://finance.yahoo.com/news/wells-fargo-technology-banking-grows-120000188.html?.tsrc=rss,2025-04-14 12:00:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=12, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","Wells Fargo Technology Banking Grows Team by 20%, Doubles Down on Positive Outlook for Tech Sector","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Wells Fargo Technology Banking Grows Team by 20%, Doubles Down on Positive Outlook for Tech Sector'}",WFC,Yahoo Finance,"Wells Fargo Technology Banking Grows Team by 20%, Doubles Down on Positive Outlook for Tech Sector SAN FRANCISCO, April 14, 2025--Driven by continuous growth in the U.S. tech sector, including an increase in IT spending, AI investments, and a renewed focus on innovation,1 Wells Fargo Technology Banking expanded its team of bankers by 20% over the past year, with additional hires expected in 2025. This represents the largest investment in talent Wells Fargo has made in the tech banking group since the team formed 25 years ago.",2025,4,14,0,531,87,98,16
"JPMorgan, Wells Fargo, Morgan Stanley, Netflix, UnitedHealthcare, Johnson & Johnson and CSX Corp have been highlighted in this Earnings Preview article.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'JPMorgan, Wells Fargo, Morgan Stanley, Netflix, UnitedHealthcare, Johnson & Johnson and CSX Corp have been highlighted in this Earnings Preview article.'}",4fcb89cd-90a8-3954-bd96-98cc6122cb96,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/jpmorgan-wells-fargo-morgan-stanley-072200566.html?.tsrc=rss'}]",https://finance.yahoo.com/news/jpmorgan-wells-fargo-morgan-stanley-072200566.html?.tsrc=rss,2025-04-14 07:22:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=7, tm_min=22, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","JPMorgan, Wells Fargo, Morgan Stanley, Netflix, UnitedHealthcare, Johnson & Johnson and CSX Corp are part of Zacks Earnings Preview","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'JPMorgan, Wells Fargo, Morgan Stanley, Netflix, UnitedHealthcare, Johnson & Johnson and CSX Corp are part of Zacks Earnings Preview'}",WFC,Yahoo Finance,"JPMorgan, Wells Fargo, Morgan Stanley, Netflix, UnitedHealthcare, Johnson & Johnson and CSX Corp are part of Zacks Earnings Preview JPMorgan, Wells Fargo, Morgan Stanley, Netflix, UnitedHealthcare, Johnson & Johnson and CSX Corp have been highlighted in this Earnings Preview article.",2025,4,14,0,284,40,131,19
"Says had ‘solid’ Q1 results. Says continued to take ‘disciplined approach’ to expenses. Says consumer losses were ‘relatively stable’. Says risk and control work remains top priority. Says ‘remains confident’ to complete work needed to close other consent orders. Says continues to increase collaboration between bankers, advisors. Says seen more clients investing in alternative products. Says focused on expanding commercial banking business. Says consumers have remained ‘resilient’. Says overall","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Says had ‘solid’ Q1 results. Says continued to take ‘disciplined approach’ to expenses. Says consumer losses were ‘relatively stable’. Says risk and control work remains top priority. Says ‘remains confident’ to complete work needed to close other consent orders. Says continues to increase collaboration between bankers, advisors. Says seen more clients investing in alternative products. Says focused on expanding commercial banking business. Says consumers have remained ‘resilient’. Says overall'}",bf13c781-e074-3520-839d-2c8a0c3cee55,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/wells-fargo-says-risk-control-141528426.html?.tsrc=rss'}]",https://finance.yahoo.com/news/wells-fargo-says-risk-control-141528426.html?.tsrc=rss,2025-04-12 14:15:28,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=12, tm_hour=14, tm_min=15, tm_sec=28, tm_wday=5, tm_yday=102, tm_isdst=0)","Wells Fargo says risk, control work remains ‘top priority’","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Wells Fargo says risk, control work remains ‘top priority’'}",WFC,Yahoo Finance,"Wells Fargo says risk, control work remains ‘top priority’ Says had ‘solid’ Q1 results. Says continued to take ‘disciplined approach’ to expenses. Says consumer losses were ‘relatively stable’. Says risk and control work remains top priority. Says ‘remains confident’ to complete work needed to close other consent orders. Says continues to increase collaboration between bankers, advisors. Says seen more clients investing in alternative products. Says focused on expanding commercial banking business. Says consumers have remained ‘resilient’. Says overall",2025,4,12,5,558,78,58,9
"Despite a decline in net interest income, Wells Fargo & Co (WFC) reports a 16% increase in diluted earnings per share and returns $4.8 billion to shareholders.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Despite a decline in net interest income, Wells Fargo & Co (WFC) reports a 16% increase in diluted earnings per share and returns $4.8 billion to shareholders.'}",1480a2ef-34ec-34cf-a4a3-30c8f552bd8a,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/wells-fargo-co-wfc-q1-070042196.html?.tsrc=rss'}]",https://finance.yahoo.com/news/wells-fargo-co-wfc-q1-070042196.html?.tsrc=rss,2025-04-12 07:00:42,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=12, tm_hour=7, tm_min=0, tm_sec=42, tm_wday=5, tm_yday=102, tm_isdst=0)",Wells Fargo & Co (WFC) Q1 2025 Earnings Call Highlights: Strong EPS Growth Amid Revenue ...,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=WFC&region=US&lang=en-US', 'value': 'Wells Fargo & Co (WFC) Q1 2025 Earnings Call Highlights: Strong EPS Growth Amid Revenue ...'}",WFC,Yahoo Finance,"Wells Fargo & Co (WFC) Q1 2025 Earnings Call Highlights: Strong EPS Growth Amid Revenue ... Despite a decline in net interest income, Wells Fargo & Co (WFC) reports a 16% increase in diluted earnings per share and returns $4.8 billion to shareholders.",2025,4,12,5,251,43,91,16
