summary,summary_detail,id,guidislink,links,url,date,published_parsed,title,title_detail,ticker,source,text,Year,Month,Day,Weekday,text_length,word_count,title_length,title_word_count
"We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment […]'}",4d954f86-f3ee-3837-93ba-793248301310,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/exxon-mobil-corporation-xom-best-231711370.html?.tsrc=rss'}]",https://finance.yahoo.com/news/exxon-mobil-corporation-xom-best-231711370.html?.tsrc=rss,2025-04-14 23:17:11,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=23, tm_min=17, tm_sec=11, tm_wday=0, tm_yday=104, tm_isdst=0)",Is Exxon Mobil Corporation (XOM) the Best Bargain Stock to Buy in May?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Is Exxon Mobil Corporation (XOM) the Best Bargain Stock to Buy in May?'}",XOM,Yahoo Finance,"Is Exxon Mobil Corporation (XOM) the Best Bargain Stock to Buy in May? We recently published a list of 10 Best Bargain Stocks to Buy in May. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best bargain stocks to buy in May. While increasing tariffs and a hard sell-off have resulted in uncertainty, Neuberger Berman, an investment […]",2025,4,14,0,396,69,70,13
"In the closing of the recent trading day, Exxon Mobil (XOM) stood at $103.39, denoting a +0.24% change from the preceding trading day.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'In the closing of the recent trading day, Exxon Mobil (XOM) stood at $103.39, denoting a +0.24% change from the preceding trading day.'}",3af34307-bfde-3797-8cfe-cc6a6fe40547,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/exxon-mobil-xom-gains-lags-214515916.html?.tsrc=rss'}]",https://finance.yahoo.com/news/exxon-mobil-xom-gains-lags-214515916.html?.tsrc=rss,2025-04-14 21:45:15,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=45, tm_sec=15, tm_wday=0, tm_yday=104, tm_isdst=0)",Exxon Mobil (XOM) Gains But Lags Market: What You Should Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Exxon Mobil (XOM) Gains But Lags Market: What You Should Know'}",XOM,Yahoo Finance,"Exxon Mobil (XOM) Gains But Lags Market: What You Should Know In the closing of the recent trading day, Exxon Mobil (XOM) stood at $103.39, denoting a +0.24% change from the preceding trading day.",2025,4,14,0,196,34,61,11
"We recently published a list of the 11 Best Dividend Paying Stocks According to Hedge Funds. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best dividend-paying stocks. Dividend-paying stocks have consistently attracted investor interest due to their long-term value. CNBC highlights this by examining […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'We recently published a list of the 11 Best Dividend Paying Stocks According to Hedge Funds. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best dividend-paying stocks. Dividend-paying stocks have consistently attracted investor interest due to their long-term value. CNBC highlights this by examining […]'}",44d12b57-48db-3f0e-bfda-f6005860e7fc,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/exxon-mobil-corporation-xom-among-135138905.html?.tsrc=rss'}]",https://finance.yahoo.com/news/exxon-mobil-corporation-xom-among-135138905.html?.tsrc=rss,2025-04-14 13:51:38,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=13, tm_min=51, tm_sec=38, tm_wday=0, tm_yday=104, tm_isdst=0)",Exxon Mobil Corporation (XOM): Among the Best Dividend Paying Stocks According to Hedge Funds,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Exxon Mobil Corporation (XOM): Among the Best Dividend Paying Stocks According to Hedge Funds'}",XOM,Yahoo Finance,"Exxon Mobil Corporation (XOM): Among the Best Dividend Paying Stocks According to Hedge Funds We recently published a list of the 11 Best Dividend Paying Stocks According to Hedge Funds. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best dividend-paying stocks. Dividend-paying stocks have consistently attracted investor interest due to their long-term value. CNBC highlights this by examining […]",2025,4,14,0,462,70,93,14
"Exxon Mobil, Chevron and EOG Resources have been highlighted in this Value Trader article.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Exxon Mobil, Chevron and EOG Resources have been highlighted in this Value Trader article.'}",2e22a08d-2b24-30c5-8875-2c4ca8ec72f5,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/zacks-value-trader-highlights-exxon-071400262.html?.tsrc=rss'}]",https://finance.yahoo.com/news/zacks-value-trader-highlights-exxon-071400262.html?.tsrc=rss,2025-04-14 07:14:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=14, tm_hour=7, tm_min=14, tm_sec=0, tm_wday=0, tm_yday=104, tm_isdst=0)","Zacks Value Trader Highlights: Exxon Mobil, Chevron and EOG Resources","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Zacks Value Trader Highlights: Exxon Mobil, Chevron and EOG Resources'}",XOM,Yahoo Finance,"Zacks Value Trader Highlights: Exxon Mobil, Chevron and EOG Resources Exxon Mobil, Chevron and EOG Resources have been highlighted in this Value Trader article.",2025,4,14,0,160,24,69,10
"The stock market has sold off sharply this year, with the S&amp;P 500 (SNPINDEX: ^GSPC) recently down about 10% since 2025 began.  While stock market sell-offs can be tough to stomach, there is a silver lining to downturns.  Stock prices and dividend yields have an inverse relationship.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'The stock market has sold off sharply this year, with the S&amp;P 500 (SNPINDEX: ^GSPC) recently down about 10% since 2025 began.  While stock market sell-offs can be tough to stomach, there is a silver lining to downturns.  Stock prices and dividend yields have an inverse relationship.'}",00e92b38-055a-38e9-ae46-b65e07484204,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.fool.com/investing/2025/04/13/cash-in-on-the-stock-market-sell-off-3-elite-divid/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=6f07ae5b-ef87-4b88-9bcd-145c38705dcb&.tsrc=rss'}]",https://www.fool.com/investing/2025/04/13/cash-in-on-the-stock-market-sell-off-3-elite-divid/?source=eptyholnk0000202&utm_source=yahoo-host-full&utm_medium=feed&utm_campaign=article&referring_guid=6f07ae5b-ef87-4b88-9bcd-145c38705dcb&.tsrc=rss,2025-04-13 14:20:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=13, tm_hour=14, tm_min=20, tm_sec=0, tm_wday=6, tm_yday=103, tm_isdst=0)",Cash In on the Stock Market Sell-Off. 3 Elite Dividend Stocks Now Yielding Around 4% to Buy and Boost Your Income.,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Cash In on the Stock Market Sell-Off. 3 Elite Dividend Stocks Now Yielding Around 4% to Buy and Boost Your Income.'}",XOM,Yahoo Finance,"Cash In on the Stock Market Sell-Off. 3 Elite Dividend Stocks Now Yielding Around 4% to Buy and Boost Your Income. The stock market has sold off sharply this year, with the S&amp;P 500 (SNPINDEX: ^GSPC) recently down about 10% since 2025 began.  While stock market sell-offs can be tough to stomach, there is a silver lining to downturns.  Stock prices and dividend yields have an inverse relationship.",2025,4,13,6,402,68,114,21
"We recently published a list of the 11 Cheap NYSE Stocks to Invest in According to Hedge Funds. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other cheap NYSE stocks. On March 26, Jack Caffrey of JPMorgan Asset Management provided an analysis of market trends […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'We recently published a list of the 11 Cheap NYSE Stocks to Invest in According to Hedge Funds. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other cheap NYSE stocks. On March 26, Jack Caffrey of JPMorgan Asset Management provided an analysis of market trends […]'}",286f2275-39ca-33d9-ad32-a8859bfb7310,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/exxon-mobil-corp-xom-cheap-204121920.html?.tsrc=rss'}]",https://finance.yahoo.com/news/exxon-mobil-corp-xom-cheap-204121920.html?.tsrc=rss,2025-04-11 20:41:21,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=20, tm_min=41, tm_sec=21, tm_wday=4, tm_yday=101, tm_isdst=0)",Is Exxon Mobil Corp. (XOM) A Cheap NYSE Stock to Invest in According to Hedge Funds?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Is Exxon Mobil Corp. (XOM) A Cheap NYSE Stock to Invest in According to Hedge Funds?'}",XOM,Yahoo Finance,"Is Exxon Mobil Corp. (XOM) A Cheap NYSE Stock to Invest in According to Hedge Funds? We recently published a list of the 11 Cheap NYSE Stocks to Invest in According to Hedge Funds. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other cheap NYSE stocks. On March 26, Jack Caffrey of JPMorgan Asset Management provided an analysis of market trends […]",2025,4,11,4,406,72,84,16
"WASHINGTON (Reuters) -The U.S. Federal Trade Commission took a step toward potentially reversing bans on certain oil executives joining the boards of Chevron and Exxon Mobil that the Biden administration made a condition that allowed them to acquire two other oil producers.  Exxon, which acquired Pioneer Natural Resources last year, had agreed to bar former Pioneer CEO Scott Sheffield from its board.  Chevron, which agreed to buy Hess in 2023, consented to a similar order keeping that company's CEO, John Hess, off its board.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': ""WASHINGTON (Reuters) -The U.S. Federal Trade Commission took a step toward potentially reversing bans on certain oil executives joining the boards of Chevron and Exxon Mobil that the Biden administration made a condition that allowed them to acquire two other oil producers.  Exxon, which acquired Pioneer Natural Resources last year, had agreed to bar former Pioneer CEO Scott Sheffield from its board.  Chevron, which agreed to buy Hess in 2023, consented to a similar order keeping that company's CEO, John Hess, off its board.""}",6714afdf-7fe0-35f4-9cff-3ff7964d49f0,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://ca.finance.yahoo.com/news/ftc-seeks-public-ex-pioneer-183820519.html?.tsrc=rss'}]",https://ca.finance.yahoo.com/news/ftc-seeks-public-ex-pioneer-183820519.html?.tsrc=rss,2025-04-11 18:38:20,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=18, tm_min=38, tm_sec=20, tm_wday=4, tm_yday=101, tm_isdst=0)","FTC takes step toward reversing Chevron, Exxon board restrictions","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'FTC takes step toward reversing Chevron, Exxon board restrictions'}",XOM,Yahoo Finance,"FTC takes step toward reversing Chevron, Exxon board restrictions WASHINGTON (Reuters) -The U.S. Federal Trade Commission took a step toward potentially reversing bans on certain oil executives joining the boards of Chevron and Exxon Mobil that the Biden administration made a condition that allowed them to acquire two other oil producers.  Exxon, which acquired Pioneer Natural Resources last year, had agreed to bar former Pioneer CEO Scott Sheffield from its board.  Chevron, which agreed to buy Hess in 2023, consented to a similar order keeping that company's CEO, John Hess, off its board.",2025,4,11,4,596,93,65,9
"Madison Mills and Yahoo Finance Executive Editor Brian Sozzi outline what's driving interest in some of the trending tickers on Yahoo Finance's platform. Citi analysts cut their Nvidia (NVDA) price target to $150 per share, citing reduced chip sales in 2025 and 2026 due to the trade war. Jefferies analysts outline their top defensive retail and consumer-facing picks, including Uber (UBER), Exxon (XOM), McDonald's (MCD), and Netflix (NFLX). Logitech (LOGI) withdraws its full-year 2026 guidance, citing tariff uncertainty. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': ""Madison Mills and Yahoo Finance Executive Editor Brian Sozzi outline what's driving interest in some of the trending tickers on Yahoo Finance's platform. Citi analysts cut their Nvidia (NVDA) price target to $150 per share, citing reduced chip sales in 2025 and 2026 due to the trade war. Jefferies analysts outline their top defensive retail and consumer-facing picks, including Uber (UBER), Exxon (XOM), McDonald's (MCD), and Netflix (NFLX). Logitech (LOGI) withdraws its full-year 2026 guidance, citing tariff uncertainty. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.""}",bcbf34d4-e429-3459-8d71-5869e3843bef,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/nvidia-defensive-consumer-plays-logitech-150202189.html?.tsrc=rss'}]",https://finance.yahoo.com/video/nvidia-defensive-consumer-plays-logitech-150202189.html?.tsrc=rss,2025-04-11 15:02:02,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=15, tm_min=2, tm_sec=2, tm_wday=4, tm_yday=101, tm_isdst=0)","Nvidia, defensive consumer plays, Logitech: Trending Tickers","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Nvidia, defensive consumer plays, Logitech: Trending Tickers'}",XOM,Yahoo Finance,"Nvidia, defensive consumer plays, Logitech: Trending Tickers Madison Mills and Yahoo Finance Executive Editor Brian Sozzi outline what's driving interest in some of the trending tickers on Yahoo Finance's platform. Citi analysts cut their Nvidia (NVDA) price target to $150 per share, citing reduced chip sales in 2025 and 2026 due to the trade war. Jefferies analysts outline their top defensive retail and consumer-facing picks, including Uber (UBER), Exxon (XOM), McDonald's (MCD), and Netflix (NFLX). Logitech (LOGI) withdraws its full-year 2026 guidance, citing tariff uncertainty. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.",2025,4,11,4,689,102,60,7
"Companies in The News Are: KMX, AAPL, CL, XOM","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Companies in The News Are: KMX, AAPL, CL, XOM'}",6ef4988e-5432-38f1-80b6-10e38cd7db1e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/company-news-apr-11-2025-131900565.html?.tsrc=rss'}]",https://finance.yahoo.com/news/company-news-apr-11-2025-131900565.html?.tsrc=rss,2025-04-11 13:19:00,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=13, tm_min=19, tm_sec=0, tm_wday=4, tm_yday=101, tm_isdst=0)","Company News for Apr 11, 2025","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'Company News for Apr 11, 2025'}",XOM,Yahoo Finance,"Company News for Apr 11, 2025 Companies in The News Are: KMX, AAPL, CL, XOM",2025,4,11,4,75,15,29,6
A bearish call that is staying in place.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': 'A bearish call that is staying in place.'}",a34f98a3-d5f6-4d3b-a0a9-9a3d7940c1d1,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/why-wall-streets-biggest-bear-isnt-budging-on-his-calls-after-trump-tariff-pause-124002190.html?.tsrc=rss'}]",https://finance.yahoo.com/news/why-wall-streets-biggest-bear-isnt-budging-on-his-calls-after-trump-tariff-pause-124002190.html?.tsrc=rss,2025-04-11 12:40:02,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=40, tm_sec=2, tm_wday=4, tm_yday=101, tm_isdst=0)",Why Wall Street's biggest bear isn't budging on his calls after Trump tariff pause,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=XOM&region=US&lang=en-US', 'value': ""Why Wall Street's biggest bear isn't budging on his calls after Trump tariff pause""}",XOM,Yahoo Finance,Why Wall Street's biggest bear isn't budging on his calls after Trump tariff pause A bearish call that is staying in place.,2025,4,11,4,123,22,82,14
