day,operate,price,investment,total_balance
0,buy,317.2962957183481,0.0,9682.703704281652
1,buy,316.91267809066994,0.0,9365.791026190982
3,sell,329.0795886654232,3.7136560073599725,9694.870614856405
4,buy,332.004344671077,0.0,9362.866270185328
5,sell,334.9881003046321,5.703597067451718,9697.85437048996
6,buy,328.44963187575195,0.0,9369.404738614208
7,buy,328.6952017764561,0.0,9040.709536837752
8,sell,318.278462684033,-4.13424770107827,9358.987999521785
12,sell,371.40666869742563,13.078728868213116,9730.39466821921
13,sell,368.35666938764916,12.066336045320988,10098.75133760686
15,buy,356.2126912963722,0.0,9742.538646310488
21,sell,364.6235370066352,2.3611864247883028,10107.162183317123
32,buy,325.8979405456048,0.0,9781.264242771518
35,sell,323.5363222406886,-0.724649655951329,10104.800565012207
37,buy,312.5224950747943,0.0,9792.278069937413
39,buy,312.3917383835469,0.0,9479.886331553866
40,buy,308.7866491294517,0.0,9171.099682424414
41,buy,312.132551278919,0.0,8858.967131145495
42,buy,298.25517690940615,0.0,8560.711954236089
43,buy,293.40876052636304,0.0,8267.303193709726
44,buy,294.4915245525772,0.0,7972.811669157149
45,buy,296.2666440215253,0.0,7676.545025135623
46,buy,305.25459903783485,0.0,7371.290426097788
48,buy,305.41385066509247,0.0,7065.876575432696
49,buy,307.14266937138746,0.0,6758.7339060613085
50,buy,308.07320635261567,0.0,6450.660699708693
51,buy,296.32904773674454,0.0,6154.331651971948
52,buy,323.24039846217784,0.0,5831.0912535097705
53,buy,331.46999420911015,0.0,5499.62125930066
54,buy,331.04768754453835,0.0,5168.573571756122
55,buy,327.11728751364353,0.0,4841.456284242478
56,buy,335.88598567021836,0.0,4505.57029857226
57,buy,341.9940622345166,0.0,4163.5762363377435
58,buy,348.4755602597106,0.0,3815.100676078033
60,buy,348.8141869008541,0.0,3466.2864891771787
61,buy,344.2634439511494,0.0,3122.0230452260294
62,buy,341.20607679453315,0.0,2780.816968431496
68,buy,334.6935684467244,0.0,2446.123399984772
71,buy,327.68511913031034,0.0,2118.4382808544615
72,sell,330.4409730233565,5.73350022188767,2448.879253877818
75,sell,324.1510049964854,3.7642693989880036,2773.0302588743034
77,buy,332.0497218317105,0.0,2440.980537042593
78,sell,325.59817345776537,5.4443818655079985,2766.5787105003583
79,sell,318.7189852205556,2.110140039752234,3085.297695720914
80,buy,320.3861304702368,0.0,2764.911565250677
81,buy,321.95419486075843,0.0,2442.9573703899187
82,sell,324.1788889026793,8.69178944751306,2767.136259292598
85,buy,337.2920396552872,0.0,2429.8442196373107
86,buy,346.83437919293647,0.0,2083.0098404443743
87,buy,342.09707319592417,0.0,1740.91276724845
88,buy,338.24323656092747,0.0,1402.6695306875226
89,buy,336.2622933089733,0.0,1066.4072373785493
90,buy,342.6581168593293,0.0,723.74912051922
91,buy,374.45592495574965,0.0,349.29319556347036
92,sell,368.55486778801423,25.61140544230589,717.8480633514846
94,buy,359.3377426099323,0.0,358.5103207415523
95,sell,368.4023385344153,25.09777287958671,726.9126592759676
96,buy,362.6532064676285,0.0,364.2594528083391
100,sell,405.6766330264509,36.92956706829825,769.93608583479
101,sell,402.64836575456866,31.905749175842,1172.5844515893587
102,sell,405.49242720446637,32.768185307062915,1578.076878793825
103,sell,401.0868261495307,30.586488347715974,1979.1637049433557
105,buy,411.42709128906426,0.0,1567.7366136542914
106,sell,422.3978768942652,37.10957921176545,1990.1344905485566
107,sell,426.51060438410786,43.9314193602158,2416.6450949326645
109,sell,443.5762701443309,37.22798024462698,2860.2213650769954
110,sell,448.1094676008579,35.1885466043617,3308.3308326778533
111,sell,434.74203854302687,31.32308573656408,3743.07287122088
112,sell,437.60184422535536,33.77521180598066,4180.6747154462355
113,sell,427.51829823735176,27.280778739336988,4608.193013683587
114,buy,425.71239347280425,0.0,4182.480620210783
116,sell,419.75196402641456,22.736623344816085,4602.232584237197
118,sell,434.0726501008867,24.56329786151504,5036.305234338084
119,sell,431.99983635911485,23.84812676266094,5468.305070697199
120,sell,443.59819167875685,28.854282809563408,5911.903262375956
121,sell,443.854906286244,30.084115281898605,6355.7581686622
122,sell,447.9177205405613,33.82919863662083,6803.675889202761
123,sell,440.9004278297143,34.55003052927213,7244.576317032475
124,sell,440.151113944019,32.55578457225647,7684.727430976494
125,sell,444.06502811525206,38.60307481584467,8128.792459091746
126,sell,442.7955391739597,37.53370704347051,8571.587998265706
128,sell,453.2668882444559,34.38410485693498,9024.854886510162
129,sell,445.00314948261075,28.30422131684504,9469.858035992773
130,sell,453.2067619898008,32.478994267876246,9923.064797982574
131,sell,477.5164189117132,41.17545224757171,10400.581216894287
132,sell,480.18415596284103,42.80047615140294,10880.765372857128
133,sell,440.0293778052255,28.416446643191534,11320.794750662353
134,sell,430.32558649778366,14.920223668149,11751.120337160137
135,buy,431.42995296089794,0.0,11319.690384199239
136,buy,430.88846110861056,0.0,10888.801923090628
140,sell,441.54397492647695,22.877149424790872,11330.345898017105
141,sell,440.6582694828103,21.509547309667802,11771.004167499916
143,sell,432.2713783979416,5.06633800986925,12203.275545897857
144,sell,432.71792756707873,1.6456025715215674,12635.993473464936
145,buy,442.12569930241443,0.0,12193.867774162522
147,sell,430.52952190702854,-0.20870851633961687,12624.39729606955
149,buy,423.7561876145264,0.0,12200.641108455024
150,buy,430.1820327380301,0.0,11770.459075716994
151,sell,425.96564289898384,-1.1424808631359142,12196.424718615977
153,buy,405.24305033683777,0.0,11791.18166827914
154,buy,407.1303671746464,0.0,11384.051301104493
155,buy,411.2617238475941,0.0,10972.789577256899
158,buy,410.193055258671,0.0,10562.596521998228
159,buy,419.7369501899193,0.0,10142.859571808309
160,sell,422.0183221538173,-4.547886987868508,10564.877893962126
162,buy,438.4715458792598,0.0,10126.406348082866
164,sell,442.593712584101,4.44536870968603,10569.000060666967
165,sell,451.25147867296624,4.897797753391271,11020.251539339934
166,sell,448.1767062525905,10.594544651676648,11468.428245592524
167,buy,445.4962308494287,0.0,11022.932014743095
169,sell,447.1103440948791,9.81994470166421,11470.042358837974
170,sell,436.4058360291529,6.113895537450194,11906.448194867127
171,buy,413.9322238044406,0.0,11492.515971062687
173,buy,398.8476180146245,0.0,11093.668353048062
178,buy,381.91510081606975,0.0,10711.753252231993
180,buy,381.5939640402794,0.0,10330.159288191713
182,buy,378.4394613457989,0.0,9951.719826845914
183,buy,379.1421211491943,0.0,9572.57770569672
184,buy,381.5467457592058,0.0,9191.030959937514
185,sell,377.7156999707222,-7.917578045651777,9568.746659908236
187,buy,373.8535924918433,0.0,9194.893067416393
188,buy,382.8810813742166,0.0,8812.011986042176
189,buy,387.3483584786664,0.0,8424.66362756351
190,buy,374.7670737931913,0.0,8049.896553770319
191,buy,367.34165245210903,0.0,7682.55490131821
192,buy,362.8670610991249,0.0,7319.687840219085
193,buy,357.49184482658166,0.0,6962.195995392503
194,buy,362.69795912739943,0.0,6599.498036265104
196,buy,348.6428292745477,0.0,6250.855206990556
197,buy,404.9094396841356,0.0,5845.945767306421
198,sell,404.32904446097746,-3.670848068527251,6250.274811767398
199,buy,410.399782287026,0.0,5839.875029480372
200,sell,417.3260644151014,-4.822543597841834,6257.201093895474
201,buy,414.8196442425251,0.0,5842.3814496529485
202,buy,407.3183759321146,0.0,5435.063073720834
203,buy,401.86244591581635,0.0,5033.200627805018
205,buy,414.79845874007157,0.0,4618.402169064946
207,sell,426.9967684965195,-4.1525519346451505,5045.398937561466
208,sell,434.5870345362491,4.989901617702216,5479.985972097715
209,sell,436.79708176045096,9.514777582157945,5916.783053858166
210,sell,436.57864454071387,14.313009254632764,6353.3616983988795
211,buy,438.64611219953804,0.0,5914.7155861993415
212,buy,437.1567884282922,0.0,5477.558797771049
213,sell,449.4821060358663,17.790675008795723,5927.040903806916
216,sell,465.20616834459366,22.927499867544654,6392.247072151509
217,sell,470.4085206041855,24.07181749639404,6862.655592755695
218,sell,469.4823879522737,23.04714774020484,7332.137980707968
219,sell,478.22074618231636,27.916584402689704,7810.358726890285
220,sell,478.822714428301,25.057815003482485,8289.181441318586
221,sell,482.06236362457275,24.451892740142547,8771.243804943158
222,sell,483.84291027749714,29.104967888533732,9255.086715220656
223,sell,483.5929324793469,31.646637197613682,9738.679647700003
224,sell,483.52812910079956,33.252141331371355,10222.207776800802
225,sell,480.868445195898,34.51172443644582,10703.0762219967
227,sell,467.74628022755496,28.96303065859182,11170.822502224255
228,sell,455.1746959753291,30.55616170923457,11625.997198199584
229,sell,456.15897766190756,12.657037093961321,12082.156175861492
232,sell,454.97216654525255,10.860723173350374,12537.128342406744
234,sell,464.6462684869766,12.011635643590758,13001.77461089372
235,sell,481.78747279251183,18.282773687777002,13483.562083686233
236,sell,471.94614057334184,17.43972231538323,13955.508224259574
237,sell,474.4900749772278,14.39051061531577,14429.998299236802
238,sell,488.75446094250947,11.423411116471351,14918.752760179312
